"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:47683","ZIP Code 46222","country:us/state:in/zip:46222","46222","1226","451","161","224","336","211","149","834","172","476","140","671","124","42","957","864","237","1023","1559","20","1924","870","1699","591","1982"
"publicpolygonfeature:5:47684","ZIP Code 46224","country:us/state:in/zip:46224","46224","1080","875","514","273","220","482","56","722","227","384","514","986","309","154","1290","567","398","1430","2585","62","795","457","2006","1061","2934"
"publicpolygonfeature:5:47685","ZIP Code 46225","country:us/state:in/zip:46225","46225","420","144","110","91","61","0","45","100","47","58","62","78","10","0","260","57","22","200","307","0","174","60","254","94","118"
"publicpolygonfeature:5:47686","ZIP Code 46226","country:us/state:in/zip:46226","46226","1134","1262","311","147","39","301","179","641","312","1150","460","1024","146","142","1609","912","922","1863","3714","0","1167","429","1469","1250","1668"
"publicpolygonfeature:5:47687","ZIP Code 46227","country:us/state:in/zip:46227","46227","2108","1111","561","259","222","475","187","1331","314","1064","522","1129","285","176","2134","558","1061","2175","3128","106","1808","639","2317","1304","2969"
"publicpolygonfeature:5:47688","ZIP Code 46228","country:us/state:in/zip:46228","46228","818","696","350","99","188","204","145","429","205","537","291","437","31","52","189","88","57","739","700","0","252","150","609","293","666"
"publicpolygonfeature:5:47689","ZIP Code 46231","country:us/state:in/zip:46231","46231","307","271","101","191","16","10","22","143","0","83","62","141","39","41","259","109","15","503","737","0","236","81","745","329","641"
"publicpolygonfeature:5:47690","ZIP Code 46234","country:us/state:in/zip:46234","46234","1459","766","598","375","376","209","198","738","233","1024","339","318","80","73","633","303","248","1262","1731","0","484","478","967","582","1112"
"publicpolygonfeature:5:47691","ZIP Code 46235","country:us/state:in/zip:46235","46235","1671","766","433","71","101","252","0","1055","142","350","288","765","188","51","1131","389","197","1690","2841","0","712","643","1672","623","1701"
"publicpolygonfeature:5:47692","ZIP Code 46236","country:us/state:in/zip:46236","46236","2284","1743","413","296","127","355","190","738","321","647","148","75","69","85","635","192","229","1112","1717","15","785","260","873","422","257"
