"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","645","341","171","132","9","232","27","331","291","267","202","449","110","26","735","326","284","995","1168","27","284","461","325","324","562"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","2840","2037","1416","282","125","433","291","1333","560","1495","244","231","210","231","1149","409","523","2038","2193","0","689","398","411","498","290"
"publicpolygonfeature:5:42827","ZIP Code 33544","country:us/state:fl/zip:33544","33544","1645","1514","576","187","71","314","136","1360","344","1014","636","148","124","200","980","357","372","2121","1893","0","334","326","218","525","376"
"publicpolygonfeature:5:42833","ZIP Code 33545","country:us/state:fl/zip:33545","33545","1665","1050","1829","383","80","268","42","832","543","836","508","215","172","136","1037","232","300","2468","1823","17","398","743","349","654","482"
"publicpolygonfeature:5:42913","ZIP Code 33810","country:us/state:fl/zip:33810","33810","2018","1444","1029","387","149","210","176","1242","258","727","614","983","383","155","1311","562","956","2482","2968","54","1406","952","1261","1116","1608"
"publicpolygonfeature:5:43513","ZIP Code 33556","country:us/state:fl/zip:33556","33556","4205","1700","827","338","238","222","431","888","498","1176","309","371","253","78","380","227","293","1877","1638","8","504","284","419","272","144"
"publicpolygonfeature:5:43528","ZIP Code 33511","country:us/state:fl/zip:33511","33511","3676","2371","1575","657","261","358","252","1399","570","1163","651","792","425","234","1809","770","780","2786","4227","20","1556","888","752","1553","705"
"publicpolygonfeature:5:43532","ZIP Code 33523","country:us/state:fl/zip:33523","33523","823","188","155","49","48","185","62","438","37","247","160","203","72","97","506","490","202","906","1222","400","993","264","166","455","339"
"publicpolygonfeature:5:43533","ZIP Code 33525","country:us/state:fl/zip:33525","33525","1126","336","151","98","41","105","25","657","73","501","265","243","70","115","534","271","247","810","940","32","495","378","259","195","379"
"publicpolygonfeature:5:43534","ZIP Code 33527","country:us/state:fl/zip:33527","33527","1265","347","275","106","54","69","67","436","82","209","56","44","59","128","367","227","108","582","772","841","711","352","124","261","382"
"publicpolygonfeature:5:43535","ZIP Code 33534","country:us/state:fl/zip:33534","33534","610","542","247","68","68","301","150","267","133","296","270","223","69","61","560","440","87","987","1369","64","694","257","230","388","355"
"publicpolygonfeature:5:43537","ZIP Code 33558","country:us/state:fl/zip:33558","33558","3256","1250","998","372","366","199","381","998","373","1111","471","139","187","295","437","207","187","1791","1493","15","370","322","264","333","301"
"publicpolygonfeature:5:43538","ZIP Code 33547","country:us/state:fl/zip:33547","33547","2212","1157","853","238","194","97","205","758","278","928","216","256","108","182","565","178","245","1439","1636","536","202","283","533","381","332"
"publicpolygonfeature:5:43539","ZIP Code 33548","country:us/state:fl/zip:33548","33548","684","378","196","99","0","84","343","168","166","323","63","11","81","8","64","150","49","501","277","0","166","92","59","211","77"
"publicpolygonfeature:5:43540","ZIP Code 33549","country:us/state:fl/zip:33549","33549","1392","402","271","210","63","121","142","540","58","637","74","192","405","84","402","351","90","920","1175","0","325","313","156","122","199"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","777","505","429","142","175","361","95","588","128","360","531","375","109","52","550","134","282","1820","1411","0","290","459","63","427","400"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","784","385","96","159","58","120","62","840","152","210","170","345","154","11","758","685","428","1075","1762","164","1660","943","968","531","493"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","713","333","192","73","12","163","26","407","231","272","129","81","112","126","274","368","187","1053","956","170","786","367","302","304","315"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","1561","607","212","111","63","125","109","670","170","424","185","318","80","76","930","565","193","1061","1217","316","682","576","308","563","504"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","466","165","79","40","10","58","109","677","36","241","137","124","15","57","351","317","131","344","1066","456","575","503","292","142","160"
"publicpolygonfeature:5:43547","ZIP Code 33569","country:us/state:fl/zip:33569","33569","1933","1276","590","420","98","277","97","920","293","702","274","181","212","228","344","229","534","1509","1517","25","645","303","412","529","453"
"publicpolygonfeature:5:43548","ZIP Code 33570","country:us/state:fl/zip:33570","33570","1554","624","318","219","47","131","30","477","63","544","211","303","203","110","1001","718","432","1673","2168","107","975","708","720","879","913"
"publicpolygonfeature:5:43549","ZIP Code 33572","country:us/state:fl/zip:33572","33572","2299","1059","612","241","35","315","226","761","343","1118","218","175","259","32","359","218","313","1542","1233","14","401","130","399","370","428"
