"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:43797","ZIP Code 34747","country:us/state:fl/zip:34747","34747","1836","1443","747","486","78","116","56","542","908","547","229","245","199","21","1412","376","1308","2139","1806","0","579","221","304","613","241"
"publicpolygonfeature:5:43798","ZIP Code 34748","country:us/state:fl/zip:34748","34748","1442","672","401","219","62","150","30","240","112","706","578","634","178","77","978","642","290","1260","1694","256","967","667","825","1008","649"
"publicpolygonfeature:5:43799","ZIP Code 34753","country:us/state:fl/zip:34753","34753","259","77","41","36","0","264","0","189","32","71","184","103","49","0","210","159","26","275","568","23","636","165","43","128","448"
"publicpolygonfeature:5:43800","ZIP Code 34759","country:us/state:fl/zip:34759","34759","1499","577","376","122","42","6","0","894","120","474","464","460","101","68","1801","685","355","2091","2486","39","921","794","812","1407","1200"
"publicpolygonfeature:5:43801","ZIP Code 34760","country:us/state:fl/zip:34760","34760","60","20","0","0","0","0","0","37","22","0","0","0","0","0","0","0","14","0","90","0","24","0","33","0","16"
"publicpolygonfeature:5:43802","ZIP Code 34761","country:us/state:fl/zip:34761","34761","2986","1335","971","525","77","345","270","1302","356","1369","680","582","670","265","1689","888","938","2277","2663","228","2349","601","478","738","800"
"publicpolygonfeature:5:43803","ZIP Code 34762","country:us/state:fl/zip:34762","34762","0","96","39","13","0","0","0","0","0","27","48","0","0","0","0","0","45","0","17","0","0","0","0","0","40"
"publicpolygonfeature:5:43804","ZIP Code 34769","country:us/state:fl/zip:34769","34769","1088","1226","421","175","54","74","72","1174","187","283","86","406","218","314","867","483","441","1294","1846","40","823","476","798","618","824"
"publicpolygonfeature:5:43805","ZIP Code 34771","country:us/state:fl/zip:34771","34771","2357","1057","605","397","3","351","142","1406","318","857","405","403","60","300","660","217","594","2400","2200","37","674","362","808","767","335"
"publicpolygonfeature:5:43807","ZIP Code 34772","country:us/state:fl/zip:34772","34772","1637","1017","471","294","51","296","86","1047","393","514","284","588","313","245","553","381","825","1870","2258","56","1078","528","695","796","439"
"publicpolygonfeature:5:43808","ZIP Code 34773","country:us/state:fl/zip:34773","34773","121","216","75","0","0","0","13","260","35","64","13","20","0","16","96","48","18","237","333","0","98","0","0","214","65"
"publicpolygonfeature:5:43811","ZIP Code 34786","country:us/state:fl/zip:34786","34786","4867","1821","967","634","103","303","255","955","692","1675","188","220","109","9","1400","246","721","2494","2050","33","395","209","430","731","211"
"publicpolygonfeature:5:43812","ZIP Code 34787","country:us/state:fl/zip:34787","34787","9584","3709","1447","1285","233","808","884","2688","1910","2858","937","560","506","220","2730","906","2524","6631","4036","81","2199","508","550","2825","937"
"publicpolygonfeature:5:43813","ZIP Code 34788","country:us/state:fl/zip:34788","34788","649","411","175","0","0","176","90","252","205","181","107","302","96","17","234","730","316","824","1457","146","678","204","420","310","240"
"publicpolygonfeature:5:43814","ZIP Code 34797","country:us/state:fl/zip:34797","34797","65","42","41","19","0","0","45","11","0","54","0","0","0","0","0","17","14","20","32","18","0","11","0","0","0"
"publicpolygonfeature:5:6695185","ZIP Code 32816","country:us/state:fl/zip:32816","32816","73","17","70","0","0","49","0","221","49","0","38","0","45","0","205","29","106","102","169","18","0","33","32","15","31"
"publicpolygonfeature:5:6696728","ZIP Code 32768","country:us/state:fl/zip:32768","32768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:6702949","ZIP Code 34729","country:us/state:fl/zip:34729","34729","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:22:928539","Orlando-Kissimmee-Sanford, FL Area","country:us/state:fl/msa:orlando-kissimmee-sanford","36740","159532","89912","53457","30124","8217","21131","15417","70849","35308","58764","27166","34739","18453","9267","89712","56359","43231","151338","168621","3910","70563","36179","40783","62712","44752"
