"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:45702","ZIP Code 40070","country:us/state:ky/zip:40070","40070","105","0","0","0","0","0","0","0","0","0","0","20","0","4","0","17","21","0","33","0","0","0","4","10","0"
"publicpolygonfeature:5:45703","ZIP Code 40071","country:us/state:ky/zip:40071","40071","665","376","385","172","58","130","41","380","46","525","219","170","83","98","450","224","160","844","950","10","530","351","734","450","299"
"publicpolygonfeature:5:45704","ZIP Code 40075","country:us/state:ky/zip:40075","40075","59","52","6","15","0","0","0","31","0","0","14","0","0","16","35","28","15","20","39","0","11","12","48","40","0"
"publicpolygonfeature:5:45705","ZIP Code 40076","country:us/state:ky/zip:40076","40076","47","128","9","11","0","34","0","46","13","23","15","20","9","34","9","30","114","94","151","16","72","69","92","81","89"
"publicpolygonfeature:5:45706","ZIP Code 40077","country:us/state:ky/zip:40077","40077","52","6","12","0","0","0","0","0","0","6","0","14","0","0","27","5","16","21","25","5","12","4","51","0","29"
"publicpolygonfeature:5:45707","ZIP Code 40108","country:us/state:ky/zip:40108","40108","603","333","100","75","37","49","56","294","12","249","305","167","10","27","532","42","97","570","581","11","582","454","581","443","162"
"publicpolygonfeature:5:45709","ZIP Code 40104","country:us/state:ky/zip:40104","40104","12","33","0","0","0","18","0","0","0","22","7","18","0","0","11","0","22","0","81","0","19","95","43","12","0"
"publicpolygonfeature:5:45710","ZIP Code 40107","country:us/state:ky/zip:40107","40107","17","4","17","21","9","0","0","24","12","46","42","32","0","13","5","13","55","84","72","6","157","28","127","123","124"
"publicpolygonfeature:5:45711","ZIP Code 40109","country:us/state:ky/zip:40109","40109","180","50","0","36","0","0","37","22","40","50","41","18","32","16","41","14","11","67","112","0","22","29","38","108","34"
"publicpolygonfeature:5:45712","ZIP Code 40110","country:us/state:ky/zip:40110","40110","0","17","0","0","6","0","0","0","0","0","259","0","0","0","0","0","0","0","9","0","33","8","0","0","0"
"publicpolygonfeature:5:45714","ZIP Code 40121","country:us/state:ky/zip:40121","40121","230","152","63","28","0","38","0","75","35","31","9","18","41","3","90","37","78","262","139","61","18","10","32","8","27"
"publicpolygonfeature:5:45716","ZIP Code 40142","country:us/state:ky/zip:40142","40142","70","0","23","0","0","0","0","36","33","24","0","110","18","0","115","54","13","46","260","0","79","55","132","28","13"
"publicpolygonfeature:5:45719","ZIP Code 40161","country:us/state:ky/zip:40161","40161","0","0","0","0","0","0","0","0","0","0","33","0","0","0","8","0","0","0","0","0","18","6","2","8","0"
"publicpolygonfeature:5:45723","ZIP Code 40150","country:us/state:ky/zip:40150","40150","123","44","50","24","12","35","2","47","13","75","69","37","45","6","56","52","13","117","504","8","148","114","268","321","197"
"publicpolygonfeature:5:45725","ZIP Code 40155","country:us/state:ky/zip:40155","40155","12","5","12","0","8","3","0","9","0","19","10","40","7","0","26","74","0","93","43","0","25","55","31","13","40"
"publicpolygonfeature:5:45726","ZIP Code 40157","country:us/state:ky/zip:40157","40157","88","20","18","0","0","0","28","0","0","4","0","0","0","10","0","20","9","27","59","0","24","11","31","42","49"
"publicpolygonfeature:5:45731","ZIP Code 40165","country:us/state:ky/zip:40165","40165","2080","800","314","299","99","113","37","895","120","688","714","316","196","169","711","714","293","1478","2908","92","1213","657","1692","631","1830"
"publicpolygonfeature:5:45732","ZIP Code 40175","country:us/state:ky/zip:40175","40175","1010","555","173","36","14","198","39","273","57","290","189","478","92","19","359","63","129","682","673","98","345","358","605","475","603"
"publicpolygonfeature:5:45733","ZIP Code 40176","country:us/state:ky/zip:40176","40176","0","28","0","0","0","0","0","19","0","41","28","0","0","0","0","19","0","82","57","0","93","32","12","45","0"
"publicpolygonfeature:5:45734","ZIP Code 40177","country:us/state:ky/zip:40177","40177","29","23","0","0","0","0","0","30","0","11","8","7","5","22","24","16","3","96","71","0","27","55","139","34","15"
"publicpolygonfeature:5:45735","ZIP Code 40213","country:us/state:ky/zip:40213","40213","570","334","201","111","27","262","54","259","261","438","187","225","45","27","389","489","159","601","737","46","281","348","1018","487","748"
"publicpolygonfeature:5:45736","ZIP Code 40214","country:us/state:ky/zip:40214","40214","1608","788","407","265","21","367","240","1183","312","919","363","490","72","118","874","431","854","2060","2815","35","1095","559","2436","1427","3060"
"publicpolygonfeature:5:45737","ZIP Code 40215","country:us/state:ky/zip:40215","40215","489","165","109","35","24","60","50","349","143","166","225","260","138","6","498","431","415","575","946","61","723","411","1271","351","980"
"publicpolygonfeature:5:45738","ZIP Code 40216","country:us/state:ky/zip:40216","40216","1085","902","472","71","60","310","77","791","126","544","589","1266","212","99","942","925","239","1599","2835","111","851","518","2301","1100","1695"
"publicpolygonfeature:5:45739","ZIP Code 40217","country:us/state:ky/zip:40217","40217","790","438","420","312","35","127","89","634","289","417","229","106","36","0","486","183","165","386","643","0","189","258","459","245","252"
"publicpolygonfeature:5:45740","ZIP Code 40219","country:us/state:ky/zip:40219","40219","1068","749","264","207","173","342","355","426","183","469","524","722","255","135","944","567","290","1415","2375","59","1061","654","2835","920","1935"
"publicpolygonfeature:5:45741","ZIP Code 40220","country:us/state:ky/zip:40220","40220","2259","1298","798","521","460","301","166","1064","333","1055","259","432","182","155","780","349","719","1616","2399","0","546","435","1089","720","651"
"publicpolygonfeature:5:45742","ZIP Code 40222","country:us/state:ky/zip:40222","40222","1967","931","623","424","131","288","197","608","262","940","139","178","161","11","419","130","228","1173","1127","15","244","100","340","462","388"
"publicpolygonfeature:5:45743","ZIP Code 40223","country:us/state:ky/zip:40223","40223","1670","783","521","425","82","366","269","708","240","866","368","215","176","28","365","209","244","915","1058","0","223","143","354","269","366"
"publicpolygonfeature:5:45744","ZIP Code 40229","country:us/state:ky/zip:40229","40229","1676","576","808","211","195","412","354","1080","235","830","518","615","210","129","940","564","453","1682","2534","7","1077","1022","2305","1997","1938"
"publicpolygonfeature:5:45745","ZIP Code 40231","country:us/state:ky/zip:40231","40231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45746","ZIP Code 40241","country:us/state:ky/zip:40241","40241","2309","1286","523","382","153","287","267","1126","235","1678","515","261","64","183","619","282","370","1796","1430","0","291","258","747","465","744"
"publicpolygonfeature:5:45747","ZIP Code 40242","country:us/state:ky/zip:40242","40242","624","456","188","100","33","117","77","448","180","301","140","152","53","29","290","85","147","763","730","0","123","147","336","108","295"
"publicpolygonfeature:5:45748","ZIP Code 40243","country:us/state:ky/zip:40243","40243","989","490","163","154","129","81","72","320","221","402","68","58","13","22","222","113","76","1056","597","3","104","82","198","123","176"
"publicpolygonfeature:5:45749","ZIP Code 40245","country:us/state:ky/zip:40245","40245","3357","1807","914","826","248","309","230","1069","389","1787","364","238","68","116","567","284","375","2171","1677","13","399","315","731","534","724"
"publicpolygonfeature:5:45750","ZIP Code 40258","country:us/state:ky/zip:40258","40258","979","719","312","90","43","404","93","472","128","255","314","523","135","156","602","303","212","991","1797","0","535","452","1494","667","1265"
"publicpolygonfeature:5:45751","ZIP Code 40272","country:us/state:ky/zip:40272","40272","1048","802","268","284","124","134","91","893","209","566","566","715","146","139","914","703","304","1093","2979","0","771","1014","1635","1007","1393"
"publicpolygonfeature:5:45752","ZIP Code 40280","country:us/state:ky/zip:40280","40280","0","0","0","0","0","0","0","1","28","0","11","3","0","0","21","0","6","30","1","0","0","0","15","8","7"
"publicpolygonfeature:5:45754","ZIP Code 40291","country:us/state:ky/zip:40291","40291","2577","1685","610","405","162","233","146","1139","196","1001","436","380","84","59","1129","280","659","1714","2499","27","525","791","2127","1036","936"
"publicpolygonfeature:5:45755","ZIP Code 40299","country:us/state:ky/zip:40299","40299","2565","1850","911","463","103","369","215","1632","231","1017","453","651","366","315","878","397","476","1949","2077","26","560","784","1414","840","802"
"publicpolygonfeature:5:47979","ZIP Code 47104","country:us/state:in/zip:47104","47104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47982","ZIP Code 47114","country:us/state:in/zip:47114","47114","6","29","13","31","2","3","0","6","3","0","0","3","0","0","11","2","4","30","17","0","25","10","7","5","5"
