"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:43586","ZIP Code 33712","country:us/state:fl/zip:33712","33712","365","208","30","234","249","50","67","644","28","10","733","0","251","381","0","158","499","28","0","195"
"publicpolygonfeature:5:43587","ZIP Code 33713","country:us/state:fl/zip:33713","33713","1184","856","2","71","970","112","283","1415","266","202","890","0","320","870","1","234","2659","57","193","375"
"publicpolygonfeature:5:43588","ZIP Code 33714","country:us/state:fl/zip:33714","33714","382","475","4","52","562","137","79","668","53","28","702","0","318","224","64","123","1075","115","0","552"
"publicpolygonfeature:5:43589","ZIP Code 33715","country:us/state:fl/zip:33715","33715","652","75","0","113","40","11","43","168","15","11","5","0","123","180","3","38","60","21","3","30"
"publicpolygonfeature:5:43590","ZIP Code 33716","country:us/state:fl/zip:33716","33716","575","7173","1","91","1306","431","7560","981","2090","9639","5431","0","458","4290","4","1316","2924","576","0","1334"
"publicpolygonfeature:5:43591","ZIP Code 33744","country:us/state:fl/zip:33744","33744","0","1","0","0","5","0","2","4238","2","0","0","0","27","16","0","0","0","0","0","0"
"publicpolygonfeature:5:43592","ZIP Code 33755","country:us/state:fl/zip:33755","33755","382","353","1","49","478","1430","215","476","369","12","377","0","174","2075","2410","137","620","116","156","169"
"publicpolygonfeature:5:43593","ZIP Code 33759","country:us/state:fl/zip:33759","33759","1002","594","1","250","251","74","1168","1374","106","2335","410","1","376","1776","1","244","2165","4","0","623"
"publicpolygonfeature:5:43594","ZIP Code 33760","country:us/state:fl/zip:33760","33760","675","1357","12","277","2082","269","1280","3486","405","859","3235","1","722","1669","754","244","1613","1696","81","3955"
"publicpolygonfeature:5:43595","ZIP Code 33761","country:us/state:fl/zip:33761","33761","1363","355","0","1425","216","98","818","1689","48","43","51","0","244","873","6","239","2929","9","0","36"
"publicpolygonfeature:5:43596","ZIP Code 33762","country:us/state:fl/zip:33762","33762","888","1679","6","111","2389","31","1124","476","269","1095","1930","0","534","1246","2","830","728","1817","0","1430"
"publicpolygonfeature:5:43597","ZIP Code 33763","country:us/state:fl/zip:33763","33763","414","2629","2","53","162","50","222","650","80","4","31","0","108","831","157","249","785","24","0","160"
"publicpolygonfeature:5:43599","ZIP Code 33764","country:us/state:fl/zip:33764","33764","1138","1637","2","82","409","237","525","792","226","86","252","0","138","638","0","241","1886","128","21","93"
"publicpolygonfeature:5:43600","ZIP Code 33765","country:us/state:fl/zip:33765","33765","1285","559","7","630","878","202","346","1597","441","101","2126","0","313","1872","8","244","2197","200","215","688"
"publicpolygonfeature:5:43601","ZIP Code 33767","country:us/state:fl/zip:33767","33767","4775","123","1","343","160","87","45","19","27","25","10","0","124","206","0","190","699","184","0","44"
"publicpolygonfeature:5:43602","ZIP Code 33770","country:us/state:fl/zip:33770","33770","1038","530","6","72","252","15827","272","5096","137","76","58","0","269","486","954","154","1492","7","0","92"
"publicpolygonfeature:5:43603","ZIP Code 33771","country:us/state:fl/zip:33771","33771","1041","1753","3","73","797","252","138","2243","86","59","866","0","717","599","1","160","1289","245","1","301"
"publicpolygonfeature:5:43604","ZIP Code 33773","country:us/state:fl/zip:33773","33773","545","1121","7","215","1654","66","122","994","107","206","8004","2","497","1735","0","227","1920","147","31","932"
"publicpolygonfeature:5:43605","ZIP Code 33774","country:us/state:fl/zip:33774","33774","437","112","2","25","247","161","113","1388","7","15","38","0","112","182","1","78","595","24","76","97"
"publicpolygonfeature:5:43606","ZIP Code 33776","country:us/state:fl/zip:33776","33776","110","58","0","4","178","35","65","183","9","8","1","0","73","166","0","50","334","19","0","28"
"publicpolygonfeature:5:43607","ZIP Code 33777","country:us/state:fl/zip:33777","33777","386","574","1","258","442","45","193","702","251","58","1144","2","213","1540","0","150","712","129","0","428"
"publicpolygonfeature:5:43608","ZIP Code 33778","country:us/state:fl/zip:33778","33778","277","121","0","95","277","58","64","422","2","0","31","0","116","103","2584","117","520","5","0","21"
"publicpolygonfeature:5:43609","ZIP Code 33781","country:us/state:fl/zip:33781","33781","1902","1316","3","82","884","63","409","1827","94","437","665","0","515","566","649","164","3397","45","9","225"
"publicpolygonfeature:5:43756","ZIP Code 34652","country:us/state:fl/zip:34652","34652","1058","613","3","18","664","226","194","2638","125","6","62","0","276","418","311","264","1320","39","552","110"
"publicpolygonfeature:5:43759","ZIP Code 34601","country:us/state:fl/zip:34601","34601","933","691","73","284","1197","2723","441","1910","61","0","844","4","318","475","1963","274","1397","630","18","310"
"publicpolygonfeature:5:43760","ZIP Code 34602","country:us/state:fl/zip:34602","34602","721","40","18","13","130","1","2","112","9","13","191","0","28","135","0","5","313","1270","0","10"
"publicpolygonfeature:5:43761","ZIP Code 34604","country:us/state:fl/zip:34604","34604","155","407","19","57","624","12","16","101","70","0","1705","0","175","109","448","26","737","92","0","266"
"publicpolygonfeature:5:43762","ZIP Code 34606","country:us/state:fl/zip:34606","34606","1038","366","0","25","254","50","181","1424","77","3","17","0","263","779","23","54","1028","15","0","10"
"publicpolygonfeature:5:43763","ZIP Code 34607","country:us/state:fl/zip:34607","34607","657","71","49","57","316","69","56","68","5","3","15","0","118","136","0","44","1238","5","0","29"
"publicpolygonfeature:5:43764","ZIP Code 34608","country:us/state:fl/zip:34608","34608","475","397","65","31","271","35","85","1072","10","0","15","0","141","233","0","53","424","21","8","22"
"publicpolygonfeature:5:43765","ZIP Code 34609","country:us/state:fl/zip:34609","34609","967","457","7","138","451","46","482","2749","16","4","50","8","271","363","1","123","2269","42","2","52"
"publicpolygonfeature:5:43766","ZIP Code 34610","country:us/state:fl/zip:34610","34610","76","572","11","31","433","208","2","156","1","0","62","23","65","47","56","19","136","142","0","83"
"publicpolygonfeature:5:43767","ZIP Code 34653","country:us/state:fl/zip:34653","34653","690","727","7","62","494","302","202","3483","44","131","70","0","268","240","2","107","778","77","113","57"
"publicpolygonfeature:5:43768","ZIP Code 34613","country:us/state:fl/zip:34613","34613","1304","63","20","114","346","1","68","3578","55","242","42","4","249","171","6","61","1164","19","88","44"
"publicpolygonfeature:5:43769","ZIP Code 34614","country:us/state:fl/zip:34614","34614","4","39","2","1","154","0","12","2","22","0","34","0","38","23","0","20","14","28","0","11"
"publicpolygonfeature:5:43770","ZIP Code 34637","country:us/state:fl/zip:34637","34637","158","102","0","54","142","4","13","182","3","0","66","1","21","153","0","12","32","1","0","15"
"publicpolygonfeature:5:43771","ZIP Code 34638","country:us/state:fl/zip:34638","34638","414","208","19","44","981","9612","200","1056","108","39","71","0","135","516","0","44","472","136","2","141"
"publicpolygonfeature:5:43772","ZIP Code 34639","country:us/state:fl/zip:34639","34639","665","337","8","56","453","162","106","829","8","227","34","13","288","712","1","112","721","40","6","108"
"publicpolygonfeature:5:43773","ZIP Code 34655","country:us/state:fl/zip:34655","34655","1730","573","19","333","391","286","591","2501","55","122","133","0","471","918","0","258","2434","577","5","193"
"publicpolygonfeature:5:43774","ZIP Code 34661","country:us/state:fl/zip:34661","34661","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0"
"publicpolygonfeature:5:43775","ZIP Code 34667","country:us/state:fl/zip:34667","34667","708","426","4","91","1235","20","126","3916","78","102","333","0","472","318","1","111","1715","36","20","279"
"publicpolygonfeature:5:43776","ZIP Code 34668","country:us/state:fl/zip:34668","34668","1834","623","13","198","953","176","182","815","103","8","417","0","315","332","69","133","2681","125","1","373"
"publicpolygonfeature:5:43777","ZIP Code 34669","country:us/state:fl/zip:34669","34669","221","241","1","7","274","0","10","106","8","0","40","0","292","51","0","18","320","25","58","121"
"publicpolygonfeature:5:43778","ZIP Code 34683","country:us/state:fl/zip:34683","34683","1195","1267","0","72","766","212","316","518","208","5","393","0","363","1339","1","160","730","27","0","304"
"publicpolygonfeature:5:43779","ZIP Code 34684","country:us/state:fl/zip:34684","34684","1283","570","7","145","334","87","441","2725","126","73","128","0","364","1439","73","233","1694","107","0","86"
"publicpolygonfeature:5:43780","ZIP Code 34685","country:us/state:fl/zip:34685","34685","392","140","0","39","172","40","321","654","20","3","20","0","118","573","53","154","907","12","1","187"
"publicpolygonfeature:5:43781","ZIP Code 34688","country:us/state:fl/zip:34688","34688","16","160","0","154","99","138","119","225","17","5","39","0","38","200","0","17","51","23","0","53"
"publicpolygonfeature:5:43782","ZIP Code 34689","country:us/state:fl/zip:34689","34689","1688","660","2","452","1580","43","209","2123","72","12","513","6","493","612","439","165","1914","104","46","258"
"publicpolygonfeature:5:43783","ZIP Code 34690","country:us/state:fl/zip:34690","34690","156","241","4","12","132","21","21","175","0","0","12","0","167","107","0","89","422","4","10","354"
"publicpolygonfeature:5:43784","ZIP Code 34698","country:us/state:fl/zip:34698","34698","2208","583","26","572","724","348","910","2223","208","69","361","1","528","879","403","186","1432","305","1","351"
"publicpolygonfeature:5:6680134","ZIP Code 33530","country:us/state:fl/zip:33530","33530",,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:6697676","ZIP Code 33574","country:us/state:fl/zip:33574","33574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0"
"publicpolygonfeature:5:6701323","ZIP Code 33550","country:us/state:fl/zip:33550","33550",,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:22:928724","Tampa-St. Petersburg-Clearwater, FL Area","country:us/state:fl/msa:tampa-st_petersburg-clearwater","45300","148919","118419","5878","29421","95800","99833","109694","226746","28110","33175","75481","258","42516","146097","50633","30698","170705","46372","5955","65458"
