"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:60471","ZIP Code 80436","country:us/state:co/zip:80436","80436","29","4","0","5","5","0","0","0","0","0","5","0","0","25","43","17","20","0","0","3"
"publicpolygonfeature:5:60472","ZIP Code 80421","country:us/state:co/zip:80421","80421","95","101","1","2","78","201","14","37","0","5","32","0","33","103","36","10","108","1","6","57"
"publicpolygonfeature:5:60474","ZIP Code 80422","country:us/state:co/zip:80422","80422","1421","48","3","1502","69","85","2","51","6","9","10","0","6","42","143","7","15","16","0","24"
"publicpolygonfeature:5:60475","ZIP Code 80427","country:us/state:co/zip:80427","80427","312","0","0","143","0","0","0","6","0","0","0","0","0","10","233","0","7","0","3","13"
"publicpolygonfeature:5:60477","ZIP Code 80438","country:us/state:co/zip:80438","80438","33","0","0","0","0","15","0","3","0","0","0","553","0","2","11","0","0","0","0","2"
"publicpolygonfeature:5:60479","ZIP Code 80425","country:us/state:co/zip:80425","80425","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0"
"publicpolygonfeature:5:60480","ZIP Code 80452","country:us/state:co/zip:80452","80452","335","23","39","110","40","126","7","33","0","3","73","52","9","46","98","21","157","2","2","28"
"publicpolygonfeature:5:60481","ZIP Code 80453","country:us/state:co/zip:80453","80453","0","0","0","0","2","1","3","0","7","0","0","0","0","11","0","0","0","0","0","0"
"publicpolygonfeature:5:60483","ZIP Code 80454","country:us/state:co/zip:80454","80454","26","29","0","0","25","0","1","1","4","0","4","0","3","10","9","5","3","0","0","6"
"publicpolygonfeature:5:60484","ZIP Code 80432","country:us/state:co/zip:80432","80432","0","2","0","0","2","0","0","0","0","2","0","0","0","5","3","0","0","0","0","0"
"publicpolygonfeature:5:60486","ZIP Code 80433","country:us/state:co/zip:80433","80433","304","96","3","18","344","17","84","232","13","16","66","2","73","343","34","36","387","15","27","76"
