"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:63656","ZIP Code 94569","country:us/state:ca/zip:94569","94569","49","0","0","0","20","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"publicpolygonfeature:5:63657","ZIP Code 94579","country:us/state:ca/zip:94579","94579","658","66","3","1","124","201","51","610","0","0","13","0","106","38","0","20","833","70","0","45"
"publicpolygonfeature:5:63659","ZIP Code 94572","country:us/state:ca/zip:94572","94572","29","65","0","1","51","174","1","348","0","0","556","0","47","17","0","13","44","64","15","17"
"publicpolygonfeature:5:63661","ZIP Code 94580","country:us/state:ca/zip:94580","94580","332","336","0","236","352","826","67","587","3","0","741","0","155","103","0","27","245","99","69","747"
"publicpolygonfeature:5:63662","ZIP Code 94582","country:us/state:ca/zip:94582","94582","281","338","0","195","97","917","64","1317","48","0","10","0","127","485","0","158","177","125","0","65"
"publicpolygonfeature:5:63664","ZIP Code 94575","country:us/state:ca/zip:94575","94575","88","3","0","0","0","699","0","0","0","0","0","0","0","0","0","0","10","0","0","0"
"publicpolygonfeature:5:63666","ZIP Code 94577","country:us/state:ca/zip:94577","94577","1949","2587","55","303","4526","1161","434","9521","304","1161","4640","0","1309","1345","303","928","4313","2322","54","3286"
"publicpolygonfeature:5:63667","ZIP Code 94583","country:us/state:ca/zip:94583","94583","2435","4335","25","430","1933","1394","2547","2877","2683","2923","421","761","727","4697","513","916","2187","836","44","1153"
"publicpolygonfeature:5:63668","ZIP Code 94586","country:us/state:ca/zip:94586","94586","88","2","9","0","63","38","10","17","0","0","77","2","0","54","0","4","33","0","0","60"
"publicpolygonfeature:5:63669","ZIP Code 94587","country:us/state:ca/zip:94587","94587","2070","3165","33","60","2086","1307","206","4485","122","0","4029","0","906","578","332","367","2554","1481","15","3503"
"publicpolygonfeature:5:63671","ZIP Code 94595","country:us/state:ca/zip:94595","94595","131","74","0","1","211","195","72","1109","36","1","34","0","246","213","0","416","188","2","0","27"
"publicpolygonfeature:5:63672","ZIP Code 94588","country:us/state:ca/zip:94588","94588","2296","3426","21","495","1618","821","1300","6721","7599","3688","2167","36","968","8926","479","486","3459","300","10","2158"
"publicpolygonfeature:5:63677","ZIP Code 94597","country:us/state:ca/zip:94597","94597","594","698","2","278","604","604","2245","1596","497","1170","76","0","338","1798","23","307","862","93","88","341"
"publicpolygonfeature:5:63678","ZIP Code 94598","country:us/state:ca/zip:94598","94598","745","509","37","290","227","697","764","11139","302","321","114","0","319","1434","60","108","1948","94","0","492"
"publicpolygonfeature:5:63680","ZIP Code 94601","country:us/state:ca/zip:94601","94601","816","745","1","174","787","680","161","3364","48","292","617","0","528","349","0","119","1302","803","0","367"
"publicpolygonfeature:5:63681","ZIP Code 94602","country:us/state:ca/zip:94602","94602","425","167","1","44","143","597","41","4855","21","0","50","0","148","337","0","51","303","45","0","43"
"publicpolygonfeature:5:63682","ZIP Code 94603","country:us/state:ca/zip:94603","94603","189","825","0","20","774","436","14","1248","102","14","307","0","147","10","0","61","260","530","0","237"
"publicpolygonfeature:5:63683","ZIP Code 94605","country:us/state:ca/zip:94605","94605","383","206","0","1280","136","989","45","1776","13","524","35","0","249","112","0","47","463","70","0","5"
"publicpolygonfeature:5:63684","ZIP Code 94606","country:us/state:ca/zip:94606","94606","750","306","25","103","231","1092","109","2597","27","0","356","0","497","546","379","98","631","69","0","173"
