"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:45752","ZIP Code 40280","country:us/state:ky/zip:40280","40280","0","0","0","0","0","0","0","30","0.44427354031391925","34113","40","30","31","0","30","0"
"publicpolygonfeature:5:45754","ZIP Code 40291","country:us/state:ky/zip:40291","40291","1068","432","8117","6405","3230","5437","3517","5442","0.8659022130136188","14082.7634","8590","2591","4213","1343","4099","51"
"publicpolygonfeature:5:45755","ZIP Code 40299","country:us/state:ky/zip:40299","40299","1039","552","6505","6228","2788","7881","4807","4426","0.7728981327249773","23915.389","9809","3083","4026","1370","3056","31"
"publicpolygonfeature:5:47979","ZIP Code 47104","country:us/state:in/zip:47104","47104","0","0","0","0","0","9","0","0","0","2791.1002","0","0","0","0","0","0"
"publicpolygonfeature:5:47982","ZIP Code 47114","country:us/state:in/zip:47114","47114","37","1","74","89","34","98","3","52","0","3273.8319","93","20","47","35","17","0"
"publicpolygonfeature:5:47986","ZIP Code 47120","country:us/state:in/zip:47120","47120","57","22","308","102","31","43","45","188","0.1789692768177353","2979.0802","50","65","87","66","122","0"
"publicpolygonfeature:5:47988","ZIP Code 47106","country:us/state:in/zip:47106","47106","53","157","1231","764","370","397","201","906","0.6091699219570763","4250.8725","560","408","513","387","519","0"
"publicpolygonfeature:5:47989","ZIP Code 47108","country:us/state:in/zip:47108","47108","172","66","724","215","75","152","46","498","0.47985306848524717","2766.8596","293","161","78","83","415","0"
"publicpolygonfeature:5:47990","ZIP Code 47110","country:us/state:in/zip:47110","47110","11","0","49","146","125","31","0","91","0.25774260543484584","7593","89","16","57","91","0","0"
"publicpolygonfeature:5:47992","ZIP Code 47111","country:us/state:in/zip:47111","47111","613","275","3515","2595","1128","2499","1012","2402","0.862475664024989","6372.2556","3808","1167","1963","553","1849","0"
"publicpolygonfeature:5:47993","ZIP Code 47112","country:us/state:in/zip:47112","47112","716","248","4727","2758","1285","1581","1069","2332","0.9122921657474868","6538.6069","2774","1379","1556","925","1407","0"
"publicpolygonfeature:5:47994","ZIP Code 47115","country:us/state:in/zip:47115","47115","115","67","923","486","246","325","118","489","0.1363642528705932","2840.6949","455","137","326","147","342","0"
"publicpolygonfeature:5:47996","ZIP Code 47122","country:us/state:in/zip:47122","47122","292","72","1820","1811","647","1905","1013","1326","0.915544828212566","5158.2636","2714","730","1226","516","810","0"
"publicpolygonfeature:5:47998","ZIP Code 47117","country:us/state:in/zip:47117","47117","61","71","1484","659","338","400","214","778","0.3172096889159589","7148.9446","642","427","219","376","402","0"
"publicpolygonfeature:5:47999","ZIP Code 47124","country:us/state:in/zip:47124","47124","66","42","1116","706","331","983","351","599","0.7270830300322275","3876.2264","1260","311","377","210","389","0"
"publicpolygonfeature:5:48000","ZIP Code 47125","country:us/state:in/zip:47125","47125","54","108","459","220","248","136","30","412","0.5995182706356639","2748.6524","199","172","175","214","198","0"
"publicpolygonfeature:5:48003","ZIP Code 47119","country:us/state:in/zip:47119","47119","113","82","1608","1826","759","2300","1539","1095","0.891035892426857","7444.0525","3109","876","1296","379","716","0"
"publicpolygonfeature:5:48005","ZIP Code 47126","country:us/state:in/zip:47126","47126","170","75","880","598","322","410","431","775","0.7683608466194946","3279.4571","1037","213","231","345","430","0"
"publicpolygonfeature:5:48006","ZIP Code 47129","country:us/state:in/zip:47129","47129","1431","837","4824","3372","995","1852","693","3391","0.8710707314227039","29116.0144","2857","1584","2020","1162","2229","0"
"publicpolygonfeature:5:48007","ZIP Code 47130","country:us/state:in/zip:47130","47130","1792","973","11960","7985","3400","6883","3328","6690","0.8316729650174576","25718.2612","8820","4292","5782","1635","5055","0"
"publicpolygonfeature:5:48008","ZIP Code 47142","country:us/state:in/zip:47142","47142","17","10","176","150","45","25","26","123","0.17537045707877846","7593","82","71","45","56","67","0"
"publicpolygonfeature:5:48009","ZIP Code 47135","country:us/state:in/zip:47135","47135","77","0","476","130","54","92","34","238","0.5755084151464971","7335.6922","94","35","63","97","141","0"
"publicpolygonfeature:5:48010","ZIP Code 47136","country:us/state:in/zip:47136","47136","91","114","1045","634","270","576","280","605","0.772738377841675","4986.7946","891","249","496","233","372","9"
"publicpolygonfeature:5:48015","ZIP Code 47141","country:us/state:in/zip:47141","47141","61","0","396","299","109","123","105","310","0.32923088566953257","2867.4143","248","95","191","119","191","0"
"publicpolygonfeature:5:48018","ZIP Code 47143","country:us/state:in/zip:47143","47143","150","0","851","519","341","569","261","574","0.8019630843386496","4003.7238","927","178","594","90","484","0"
"publicpolygonfeature:5:48020","ZIP Code 47162","country:us/state:in/zip:47162","47162","0","0","166","132","50","63","26","76","0.8001116644590589","2791.1002","74","21","65","13","63","0"
"publicpolygonfeature:5:48021","ZIP Code 47147","country:us/state:in/zip:47147","47147","57","15","688","95","53","70","26","467","0.38565202987371633","3191.0237","162","104","92","50","417","0"
"publicpolygonfeature:5:48022","ZIP Code 47150","country:us/state:in/zip:47150","47150","1984","1280","11605","7233","3039","6102","3539","6348","0.8711638148683561","19814.0979","8717","3572","5047","1943","4405","36"
"publicpolygonfeature:5:48023","ZIP Code 47160","country:us/state:in/zip:47160","47160","3","0","16","3","3","3","1","13","0","3985","5","4","3","1","12","0"
"publicpolygonfeature:5:48024","ZIP Code 47161","country:us/state:in/zip:47161","47161","103","17","968","704","315","291","132","685","0.5298710228497583","3085.5307","472","374","373","192","493","0"
"publicpolygonfeature:5:48026","ZIP Code 47163","country:us/state:in/zip:47163","47163","14","11","589","147","146","73","17","201","0.40271131030379476","4165.35","55","248","66","45","156","0"
"publicpolygonfeature:5:48027","ZIP Code 47164","country:us/state:in/zip:47164","47164","332","85","809","423","159","329","89","505","0.6631685571387117","2649.4801","722","121","112","81","424","0"
"publicpolygonfeature:5:48028","ZIP Code 47165","country:us/state:in/zip:47165","47165","372","163","1586","1133","465","664","108","1220","0.7183670851029577","2828.3511","880","430","783","326","894","0"
"publicpolygonfeature:5:48029","ZIP Code 47166","country:us/state:in/zip:47166","47166","146","20","364","155","74","240","87","142","0.3631676386034403","3166.847","409","123","74","108","34","0"
"publicpolygonfeature:5:48031","ZIP Code 47167","country:us/state:in/zip:47167","47167","910","436","4748","2158","999","985","565","2779","0.9197737239453987","3367.905","1800","1004","1351","806","1973","13"
"publicpolygonfeature:5:48033","ZIP Code 47170","country:us/state:in/zip:47170","47170","1243","494","4431","1875","1179","953","557","2610","0.9232469541377138","5102.3664","1589","874","1304","489","2121","0"
"publicpolygonfeature:5:48035","ZIP Code 47172","country:us/state:in/zip:47172","47172","800","319","3685","2702","1470","3843","2133","2034","0.8309833736719338","10503.9438","4770","1293","2557","410","1624","0"
"publicpolygonfeature:5:48037","ZIP Code 47177","country:us/state:in/zip:47177","47177","133","0","480","132","104","200","66","227","0.10935494925556537","3765.3504","211","138","59","99","128","23"
"publicpolygonfeature:5:48075","ZIP Code 47281","country:us/state:in/zip:47281","47281","40","17","415","190","159","225","53","310","0.6361252117570557","2116.8935","390","83","163","85","225","0"
"publicpolygonfeature:5:6672668","ZIP Code 40221","country:us/state:ky/zip:40221","40221","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0"
"publicpolygonfeature:22:928417","Louisville/Jefferson County, KY-IN Area","country:us/state:ky/msa:louisville_jefferson_county","31140","55931","26832","277710","194594","85167","188635","125806","177384","0.9062278565915686","22503.999","267720","96110","136676","50009","127375","1037"
