"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:60474","ZIP Code 80422","country:us/state:co/zip:80422","80422","199","17","404","661","442","1009","944","283","0.3379590845925676","7566.5159","1545","228","536","193","90","0"
"publicpolygonfeature:5:60475","ZIP Code 80427","country:us/state:co/zip:80427","80427","47","31","66","106","40","66","27","81","0.4257060358279353","7567.5851","79","109","65","0","81","0"
"publicpolygonfeature:5:60477","ZIP Code 80438","country:us/state:co/zip:80438","80438","23","63","237","104","86","127","135","167","0.22134410952881506","3114","233","58","119","83","84","0"
"publicpolygonfeature:5:60479","ZIP Code 80425","country:us/state:co/zip:80425","80425","0","0","12","43","0","27","61","0","0.5","2516.9352","34","1","0","0","0","0"
"publicpolygonfeature:5:60480","ZIP Code 80452","country:us/state:co/zip:80452","80452","113","26","344","436","175","572","645","251","0.8480279482202181","3390.0806","1028","399","347","221","30","13"
"publicpolygonfeature:5:60481","ZIP Code 80453","country:us/state:co/zip:80453","80453","0","0","20","66","0","92","87","0","0.5106400050468609","9142.8828","127","10","67","0","0","0"
"publicpolygonfeature:5:60483","ZIP Code 80454","country:us/state:co/zip:80454","80454","0","0","85","226","87","97","241","35","0.7524359159886056","8663","345","50","71","11","24","0"
"publicpolygonfeature:5:60484","ZIP Code 80432","country:us/state:co/zip:80432","80432","0","0","1","149","111","0","23","56","0.5927760621995959","985","12","0","0","56","0","55"
"publicpolygonfeature:5:60486","ZIP Code 80433","country:us/state:co/zip:80433","80433","134","26","914","1248","383","2529","1360","549","0.8638767541367963","4264.9727","2588","465","711","298","251","0"
"publicpolygonfeature:5:60489","ZIP Code 80439","country:us/state:co/zip:80439","80439","322","94","1709","2286","910","7822","5583","1102","0.8789729383616223","5685.109","7481","1286","2413","504","598","0"
"publicpolygonfeature:5:60490","ZIP Code 80440","country:us/state:co/zip:80440","80440","31","39","286","490","450","774","312","323","0.8371274282760409","1287.7916","913","366","537","138","185","0"
"publicpolygonfeature:5:60494","ZIP Code 80444","country:us/state:co/zip:80444","80444","59","3","175","123","75","255","184","49","0.5905857219465255","3114","294","86","174","18","31","0"
