"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:41922","ZIP Code 33149","country:us/state:fl/zip:33149","33149","16","0","0","0","8","0","20","0","7","0","29","7","24","10","0","22","0","13","0","20","54","30","80","0","39","10","37","0","24","0"
"publicpolygonfeature:5:41945","ZIP Code 33150","country:us/state:fl/zip:33150","33150","52","0","0","0","26","40","0","0","0","0","0","107","0","0","0","0","0","23","5","0","45","0","138","0","131","217","58","0","0","32"
"publicpolygonfeature:5:41947","ZIP Code 33154","country:us/state:fl/zip:33154","33154","52","0","0","32","17","0","16","0","53","0","13","3","18","0","0","57","0","24","0","0","0","120","24","28","84","23","14","0","14","0"
"publicpolygonfeature:5:41951","ZIP Code 33155","country:us/state:fl/zip:33155","33155","35","0","0","37","0","0","13","0","100","5","7","90","8","0","0","14","0","0","64","63","61","11","20","4","46","184","74","0","2","0"
"publicpolygonfeature:5:41956","ZIP Code 33156","country:us/state:fl/zip:33156","33156","0","0","0","0","0","0","12","0","0","0","60","54","45","22","0","36","3","0","8","8","65","39","9","0","31","26","10","0","9","0"
"publicpolygonfeature:5:41999","ZIP Code 33175","country:us/state:fl/zip:33175","33175","0","0","0","0","19","0","33","0","0","0","13","65","0","4","0","0","16","0","11","0","41","14","22","16","36","59","58","9","0","0"
"publicpolygonfeature:5:42012","ZIP Code 33176","country:us/state:fl/zip:33176","33176","17","0","0","36","0","0","122","0","0","0","11","146","37","15","0","0","0","41","48","0","42","60","81","0","140","14","73","108","32","0"
"publicpolygonfeature:5:42026","ZIP Code 33177","country:us/state:fl/zip:33177","33177","10","0","0","0","0","0","0","20","5","0","0","2","0","7","0","0","0","38","10","0","9","100","21","0","95","94","22","13","26","0"
"publicpolygonfeature:5:42039","ZIP Code 33178","country:us/state:fl/zip:33178","33178","0","0","0","28","0","2","10","9","17","18","27","26","76","6","0","20","0","0","6","45","135","145","18","28","53","93","51","13","7","0"
"publicpolygonfeature:5:42043","ZIP Code 33179","country:us/state:fl/zip:33179","33179","0","0","0","46","0","0","70","0","0","0","37","16","28","0","0","0","28","0","75","0","104","0","40","0","62","87","60","0","79","20"
"publicpolygonfeature:5:42050","ZIP Code 33180","country:us/state:fl/zip:33180","33180","12","0","0","0","0","14","66","0","0","0","57","30","36","33","0","11","6","25","0","25","97","10","21","0","70","101","78","0","63","0"
"publicpolygonfeature:5:42051","ZIP Code 33181","country:us/state:fl/zip:33181","33181","15","0","0","0","23","0","22","0","17","0","8","32","35","9","0","14","0","0","0","0","29","23","117","0","34","69","109","0","94","0"
"publicpolygonfeature:5:42054","ZIP Code 33182","country:us/state:fl/zip:33182","33182","24","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","6","0","0","0","0","0","0","0","0","15","0","0","0","0"
"publicpolygonfeature:5:42059","ZIP Code 33183","country:us/state:fl/zip:33183","33183","8","0","0","0","14","0","0","15","0","0","16","32","27","0","0","0","0","0","0","13","10","9","57","0","21","9","4","0","14","0"
