"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:40573","ZIP Code 33708","country:us/state:fl/zip:33708","33708","0","0","0","153","0","11","9","0","16","0","37","0","18","0","0","0","0","0","0","0","8","7","0","0","20","36","11","9","6","0"
"publicpolygonfeature:5:40965","ZIP Code 33709","country:us/state:fl/zip:33709","33709","27","0","0","0","0","0","0","0","19","0","0","0","50","0","0","0","0","64","24","0","129","0","11","0","156","117","53","0","43","0"
"publicpolygonfeature:5:40987","ZIP Code 33710","country:us/state:fl/zip:33710","33710","21","0","0","22","0","0","72","7","34","0","0","16","15","0","17","0","0","11","0","0","60","49","0","22","73","115","23","0","0","0"
"publicpolygonfeature:5:41015","ZIP Code 33711","country:us/state:fl/zip:33711","33711","19","0","0","0","31","0","33","6","0","0","38","227","112","0","0","23","0","0","0","0","0","10","22","0","38","19","0","115","8","0"
"publicpolygonfeature:5:41116","ZIP Code 33756","country:us/state:fl/zip:33756","33756","39","0","0","0","0","0","0","31","19","0","21","0","92","0","0","0","0","0","0","0","85","0","248","14","42","61","168","0","16","0"
"publicpolygonfeature:5:41209","ZIP Code 33772","country:us/state:fl/zip:33772","33772","16","0","0","48","0","0","0","0","0","0","18","25","0","0","0","29","0","17","13","0","0","8","0","19","7","54","8","38","0","16"
"publicpolygonfeature:5:41241","ZIP Code 33782","country:us/state:fl/zip:33782","33782","0","0","0","0","9","0","0","0","20","0","0","0","0","0","0","0","0","0","15","0","11","0","70","0","17","114","0","53","0","0"
"publicpolygonfeature:5:41244","ZIP Code 33785","country:us/state:fl/zip:33785","33785","0","0","0","0","0","0","52","9","0","0","0","39","0","0","0","0","0","0","0","0","9","0","26","0","0","26","0","0","0","0"
"publicpolygonfeature:5:41247","ZIP Code 33786","country:us/state:fl/zip:33786","33786","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41336","ZIP Code 33576","country:us/state:fl/zip:33576","33576","10","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","9","0","0","17","0","32","0","0","0"
"publicpolygonfeature:5:41427","ZIP Code 33603","country:us/state:fl/zip:33603","33603","0","0","0","0","0","28","78","0","0","0","5","0","35","0","0","0","0","9","33","0","0","41","13","37","29","57","20","0","21","0"
"publicpolygonfeature:5:42725","ZIP Code 33503","country:us/state:fl/zip:33503","33503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:42730","ZIP Code 33510","country:us/state:fl/zip:33510","33510","0","0","0","0","0","0","0","0","0","0","30","10","20","0","0","50","0","12","0","12","95","76","23","0","93","123","0","0","0","0"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","0","0","0","0","0","0","13","0","0","0","3","0","17","0","0","0","0","0","0","0","57","0","0","6","12","0","0","0","0","0"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","0","0","0","0","0","52","22","0","20","0","0","18","34","0","0","0","0","0","0","0","7","0","0","0","20","106","0","0","0","0"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","0","0","0","0","0","0","0","0","29","0","0","18","0","0","0","14","0","9","3","14","81","0","26","0","89","0","0","0","0","0"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","0","0","0","0","0","0","19","0","32","0","8","0","56","0","0","0","0","35","46","8","40","0","101","8","60","61","0","13","46","0"
