"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:45684","ZIP Code 40036","country:us/state:ky/zip:40036","40036","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","0"
"publicpolygonfeature:5:45686","ZIP Code 40228","country:us/state:ky/zip:40228","40228","6891","1089","47","0","47","1089","0","3045","438","0","47","0","0","10","46","0","0","1396","46","10","651","10","0","22","6891","3846","24"
"publicpolygonfeature:5:45687","ZIP Code 40046","country:us/state:ky/zip:40046","40046","464","33","0","0","0","33","0","155","0","0","0","0","0","0","0","0","0","39","0","0","33","0","0","0","464","309","0"
"publicpolygonfeature:5:45688","ZIP Code 40047","country:us/state:ky/zip:40047","40047","9709","902","17","0","17","902","10","4479","414","0","7","0","0","0","45","13","0","1433","32","0","488","0","0","26","9709","5230","19"
"publicpolygonfeature:5:45691","ZIP Code 40050","country:us/state:ky/zip:40050","40050","704","58","4","0","4","58","4","300","12","0","0","0","0","0","0","0","0","17","0","0","46","0","0","0","704","404","0"
"publicpolygonfeature:5:45692","ZIP Code 40051","country:us/state:ky/zip:40051","40051","1691","226","37","0","37","226","20","776","117","2","17","0","0","4","2","0","0","238","2","4","109","2","0","2","1691","915","0"
"publicpolygonfeature:5:45693","ZIP Code 40057","country:us/state:ky/zip:40057","40057","1309","183","0","0","0","183","0","545","89","0","0","0","0","0","12","12","0","312","0","0","94","0","0","0","1309","764","12"
"publicpolygonfeature:5:45694","ZIP Code 40058","country:us/state:ky/zip:40058","40058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45695","ZIP Code 40059","country:us/state:ky/zip:40059","40059","6626","656","80","93","80","656","67","2951","321","0","13","11","0","5","60","0","93","2108","49","5","335","5","93","25","6626","3675","35"
"publicpolygonfeature:5:45699","ZIP Code 40068","country:us/state:ky/zip:40068","40068","891","198","0","0","0","198","0","267","65","0","0","0","0","0","55","0","0","234","55","0","133","0","0","32","891","624","23"
