"feature id","feature label","shid","geoid","Number of Jobs (2023)"
"publicpolygonfeature:5:42319","ZIP Code 29730","country:us/state:sc/zip:29730","29730","31649"
"publicpolygonfeature:5:42320","ZIP Code 29732","country:us/state:sc/zip:29732","29732","19217"
"publicpolygonfeature:5:42321","ZIP Code 29733","country:us/state:sc/zip:29733","29733","1568"
"publicpolygonfeature:5:42324","ZIP Code 29742","country:us/state:sc/zip:29742","29742","73"
"publicpolygonfeature:5:42325","ZIP Code 29743","country:us/state:sc/zip:29743","29743","24"
"publicpolygonfeature:5:42327","ZIP Code 29745","country:us/state:sc/zip:29745","29745","9255"
"publicpolygonfeature:5:6671518","ZIP Code 28274","country:us/state:nc/zip:28274","28274","1034"
"publicpolygonfeature:5:6676902","ZIP Code 28041","country:us/state:nc/zip:28041","28041","10"
"publicpolygonfeature:5:6678389","ZIP Code 28223","country:us/state:nc/zip:28223","28223","4664"
"publicpolygonfeature:22:928125","Charlotte-Concord-Gastonia, NC-SC Area","country:us/state:nc/msa:charlotte-concord-gastonia","16740","1400944"
