"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:47694","ZIP Code 46239","country:us/state:in/zip:46239","46239","1059","503","205","42","45","378","161","524","217","1224","368","371","77","14","130","138","189","746","1225","0","16","11","244","126","354"
"publicpolygonfeature:5:47695","ZIP Code 46241","country:us/state:in/zip:46241","46241","453","590","25","62","19","139","51","316","31","253","136","407","22","6","573","378","257","569","1133","0","83","11","236","83","829"
"publicpolygonfeature:5:47696","ZIP Code 46250","country:us/state:in/zip:46250","46250","600","487","22","0","51","111","73","614","262","706","79","444","0","38","399","106","217","385","957","0","0","80","98","19","77"
"publicpolygonfeature:5:47697","ZIP Code 46254","country:us/state:in/zip:46254","46254","788","1097","219","15","94","606","144","418","196","408","328","662","59","33","326","332","404","498","1480","14","0","41","641","299","862"
"publicpolygonfeature:5:47698","ZIP Code 46256","country:us/state:in/zip:46256","46256","524","655","80","52","233","108","208","533","173","311","373","174","23","0","292","91","190","480","802","0","19","0","77","12","66"
"publicpolygonfeature:5:47699","ZIP Code 46259","country:us/state:in/zip:46259","46259","309","373","78","27","84","24","41","207","36","388","140","117","74","65","302","9","149","348","585","0","0","0","122","44","96"
"publicpolygonfeature:5:47700","ZIP Code 46260","country:us/state:in/zip:46260","46260","784","443","188","35","147","125","202","904","214","796","286","763","207","0","253","210","311","839","2067","0","0","58","228","35","394"
"publicpolygonfeature:5:48038","ZIP Code 47201","country:us/state:in/zip:47201","47201","961","584","365","722","49","206","110","680","94","748","392","537","20","63","956","423","236","913","1936","0","13","34","615","95","256"
"publicpolygonfeature:5:48043","ZIP Code 47234","country:us/state:in/zip:47234","47234","7","0","3","0","11","7","0","9","0","86","12","17","0","0","12","15","9","30","82","0","0","0","20","0","11"
"publicpolygonfeature:5:48050","ZIP Code 47235","country:us/state:in/zip:47235","47235","22","0","17","0","0","0","0","0","0","23","0","195","0","0","18","8","0","23","45","0","0","0","56","0","0"
"publicpolygonfeature:5:48057","ZIP Code 47272","country:us/state:in/zip:47272","47272","51","7","18","0","0","7","0","39","0","25","26","36","8","0","9","10","4","29","64","0","8","7","34","17","20"
"publicpolygonfeature:5:48160","ZIP Code 47448","country:us/state:in/zip:47448","47448","249","54","0","21","24","30","44","122","50","159","48","137","10","0","103","85","104","163","242","0","0","0","57","0","4"
"publicpolygonfeature:5:48164","ZIP Code 47456","country:us/state:in/zip:47456","47456","35","0","0","0","0","0","0","0","10","0","0","77","0","0","16","15","0","68","80","0","0","0","19","0","44"
"publicpolygonfeature:5:48174","ZIP Code 47468","country:us/state:in/zip:47468","47468","42","22","4","0","0","0","6","0","0","84","40","4","0","0","4","5","0","4","50","0","0","0","0","0","0"
