"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:60029","ZIP Code 78748","country:us/state:tx/zip:78748","78748","1810","2695","540","169","407","420","438","1485","593","863","257","448","60","0","778","692","495","1275","2144","0","19","54","229","150","45"
"publicpolygonfeature:5:60030","ZIP Code 78738","country:us/state:tx/zip:78738","78738","1108","1009","154","84","90","367","77","387","185","403","186","0","0","0","85","29","395","998","518","0","41","0","34","4","43"
"publicpolygonfeature:5:60031","ZIP Code 78739","country:us/state:tx/zip:78739","78739","1095","703","249","162","159","191","120","376","109","313","69","30","36","0","93","18","108","276","291","8","41","0","14","28","0"
"publicpolygonfeature:5:60032","ZIP Code 78741","country:us/state:tx/zip:78741","78741","1532","1348","457","170","88","266","17","830","524","361","558","417","100","0","1687","861","841","1065","1384","34","52","30","139","169","338"
"publicpolygonfeature:5:60033","ZIP Code 78742","country:us/state:tx/zip:78742","78742","15","0","0","0","0","0","0","46","0","0","67","0","0","0","57","0","29","30","4","0","0","0","0","0","0"
"publicpolygonfeature:5:60034","ZIP Code 78744","country:us/state:tx/zip:78744","78744","1468","1350","415","56","23","398","75","1035","657","701","318","756","32","45","1215","950","243","978","3095","17","105","0","285","427","391"
"publicpolygonfeature:5:60035","ZIP Code 78745","country:us/state:tx/zip:78745","78745","2718","2252","780","375","377","397","251","1412","640","1228","310","386","27","11","611","399","557","1718","2253","0","61","0","293","222","229"
"publicpolygonfeature:5:60036","ZIP Code 78750","country:us/state:tx/zip:78750","78750","1173","1068","194","86","99","228","382","609","274","298","297","218","13","0","415","47","264","657","1141","0","10","0","108","58","46"
"publicpolygonfeature:5:60037","ZIP Code 78751","country:us/state:tx/zip:78751","78751","991","799","303","139","219","210","120","971","763","344","151","51","11","0","395","0","230","291","477","0","0","5","27","74","77"
"publicpolygonfeature:5:60038","ZIP Code 78752","country:us/state:tx/zip:78752","78752","566","534","392","194","0","51","220","620","425","329","67","66","0","0","659","170","433","716","654","0","45","0","81","0","110"
"publicpolygonfeature:5:60039","ZIP Code 78753","country:us/state:tx/zip:78753","78753","1407","1723","442","101","60","304","31","680","334","381","171","460","146","82","968","1264","360","1007","1773","0","330","58","244","190","461"
"publicpolygonfeature:5:60040","ZIP Code 78754","country:us/state:tx/zip:78754","78754","1185","894","247","87","122","43","40","917","202","317","76","491","0","56","193","204","675","815","1070","129","26","0","272","43","224"
"publicpolygonfeature:5:60041","ZIP Code 78756","country:us/state:tx/zip:78756","78756","482","368","217","50","21","96","86","413","130","46","53","26","6","0","136","29","22","212","155","0","0","0","0","0","0"
"publicpolygonfeature:5:60042","ZIP Code 78759","country:us/state:tx/zip:78759","78759","1656","1724","825","247","272","202","125","1149","889","925","98","201","81","0","273","107","334","1208","959","8","0","0","58","51","85"
"publicpolygonfeature:5:60108","ZIP Code 78953","country:us/state:tx/zip:78953","78953","8","36","0","0","0","0","0","15","0","16","0","15","0","0","0","18","0","41","88","0","49","0","10","0","0"
"publicpolygonfeature:5:60111","ZIP Code 78957","country:us/state:tx/zip:78957","78957","85","54","7","6","10","39","58","233","83","155","16","130","0","0","192","75","25","137","527","0","14","6","105","45","11"
"publicpolygonfeature:5:6688042","ZIP Code 78674","country:us/state:tx/zip:78674","78674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","30","0","0","0","0","0","0"
"publicpolygonfeature:22:928018","Austin-Round Rock-San Marcos, TX Area","country:us/state:tx/msa:austin-round_rock-san_marcos","12420","81475","65373","24176","8267","7911","13475","10381","57476","21241","36857","12830","18756","2888","1214","31532","16255","22033","57482","86173","617","2623","1013","11601","6235","8992"
