"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41655","ZIP Code 33065","country:us/state:fl/zip:33065","33065","1544","894","260","88","153","202","295","1546","153","697","298","1159","111","87","1091","665","758","2189","3121","0","55","32","299","271","179"
"publicpolygonfeature:5:41656","ZIP Code 33066","country:us/state:fl/zip:33066","33066","312","235","78","66","15","53","93","152","155","240","151","289","29","0","197","93","191","423","1156","28","0","0","76","0","20"
"publicpolygonfeature:5:41659","ZIP Code 33067","country:us/state:fl/zip:33067","33067","1063","503","156","27","57","129","85","737","93","568","382","241","56","23","304","396","142","671","876","0","0","20","35","147","0"
"publicpolygonfeature:5:41664","ZIP Code 33068","country:us/state:fl/zip:33068","33068","1127","458","170","26","62","110","76","939","244","978","616","1744","168","63","775","675","469","2478","2881","0","166","23","491","221","302"
"publicpolygonfeature:5:41668","ZIP Code 33069","country:us/state:fl/zip:33069","33069","427","423","81","74","73","45","126","301","189","297","303","117","109","0","187","265","245","550","1056","0","71","22","85","97","311"
"publicpolygonfeature:5:41673","ZIP Code 33071","country:us/state:fl/zip:33071","33071","1227","714","166","14","18","196","398","910","73","834","245","429","20","131","777","402","265","1263","1710","0","53","17","14","59","222"
"publicpolygonfeature:5:41677","ZIP Code 33073","country:us/state:fl/zip:33073","33073","952","874","132","39","20","204","213","543","251","917","254","549","0","76","398","194","409","922","1488","0","5","42","82","52","148"
"publicpolygonfeature:5:41703","ZIP Code 33076","country:us/state:fl/zip:33076","33076","1648","1705","335","22","139","132","406","1008","238","1504","153","305","211","55","163","0","385","1155","971","0","0","12","73","67","76"
"publicpolygonfeature:5:41718","ZIP Code 33101","country:us/state:fl/zip:33101","33101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41719","ZIP Code 33109","country:us/state:fl/zip:33109","33109","83","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","48","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41784","ZIP Code 33122","country:us/state:fl/zip:33122","33122","93","64","20","0","0","27","0","35","35","24","0","47","0","0","0","0","14","14","130","0","0","0","0","0","36"
"publicpolygonfeature:5:41793","ZIP Code 33125","country:us/state:fl/zip:33125","33125","863","585","87","75","98","169","236","532","193","513","154","856","129","78","1056","1866","739","1289","1897","6","212","27","289","321","166"
"publicpolygonfeature:5:41796","ZIP Code 33126","country:us/state:fl/zip:33126","33126","991","747","105","36","32","229","76","528","250","276","501","1022","60","17","796","1259","563","1257","2277","84","47","67","351","169","373"
"publicpolygonfeature:5:41799","ZIP Code 33127","country:us/state:fl/zip:33127","33127","245","340","64","38","9","72","55","70","85","63","90","165","200","49","574","836","213","556","563","0","151","0","80","74","0"
"publicpolygonfeature:5:41814","ZIP Code 33128","country:us/state:fl/zip:33128","33128","76","96","20","45","0","0","17","101","43","54","13","90","15","0","163","504","196","184","367","0","70","0","83","0","16"
"publicpolygonfeature:5:41815","ZIP Code 33129","country:us/state:fl/zip:33129","33129","717","452","62","172","99","126","329","188","172","174","147","5","19","0","112","132","70","675","552","0","0","0","25","60","22"
"publicpolygonfeature:5:41830","ZIP Code 33130","country:us/state:fl/zip:33130","33130","1134","816","211","87","100","110","280","585","450","748","40","259","40","19","451","1290","165","984","738","0","95","9","154","163","85"
"publicpolygonfeature:5:41831","ZIP Code 33131","country:us/state:fl/zip:33131","33131","1631","1187","114","21","215","9","430","106","265","334","27","91","31","0","316","66","77","1246","1145","0","0","0","37","60","9"
"publicpolygonfeature:5:41834","ZIP Code 33132","country:us/state:fl/zip:33132","33132","867","860","186","9","181","67","100","211","117","845","150","127","6","0","828","216","357","593","358","0","50","0","140","105","0"
"publicpolygonfeature:5:41835","ZIP Code 33133","country:us/state:fl/zip:33133","33133","1344","911","139","83","284","244","638","709","310","541","63","163","51","6","311","639","179","920","1535","0","9","5","43","73","35"
"publicpolygonfeature:5:41844","ZIP Code 33134","country:us/state:fl/zip:33134","33134","1493","868","85","226","173","136","621","777","278","577","310","331","179","45","418","472","288","825","996","0","10","0","94","88","53"
