"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:48010","ZIP Code 47136","country:us/state:in/zip:47136","47136","28","62","77","88","0","27","0","0","50","94","25","5","1","0","3","0","11","27","6","4","28","28","0","19"
"publicpolygonfeature:5:48015","ZIP Code 47141","country:us/state:in/zip:47141","47141","6","18","6","7","0","19","0","0","3","0","0","0","0","0","0","0","7","0","0","0","0","13","4","0"
"publicpolygonfeature:5:48018","ZIP Code 47143","country:us/state:in/zip:47143","47143","46","112","61","118","28","20","4","0","55","54","18","1","0","0","13","0","8","10","0","52","95","64","0","4"
"publicpolygonfeature:5:48020","ZIP Code 47162","country:us/state:in/zip:47162","47162","14","32","27","42","17","0","4","0","2","53","15","0","4","0","2","0","12","1","0","0","25","9","0","1"
"publicpolygonfeature:5:48021","ZIP Code 47147","country:us/state:in/zip:47147","47147","17","31","24","37","0","60","0","0","4","0","0","0","0","0","6","0","4","5","0","4","0","14","4","41"
"publicpolygonfeature:5:48022","ZIP Code 47150","country:us/state:in/zip:47150","47150","2290","6958","5063","6457","2307","1518","3","105","1378","1796","569","6905","139","153","6244","0","825","1259","936","209","2270","545","18","475"
"publicpolygonfeature:5:48023","ZIP Code 47160","country:us/state:in/zip:47160","47160",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:48024","ZIP Code 47161","country:us/state:in/zip:47161","47161","80","120","83","139","10","0","0","0","332","0","14","30","0","0","0","0","44","25","0","1","72","16","0","37"
"publicpolygonfeature:5:48026","ZIP Code 47163","country:us/state:in/zip:47163","47163","15","47","45","34","0","9","0","0","8","0","118","0","1","0","14","0","4","1","0","0","6","1","0","0"
"publicpolygonfeature:5:48027","ZIP Code 47164","country:us/state:in/zip:47164","47164","38","122","63","117","7","14","7","0","27","1","29","97","0","0","45","0","3","3","3","6","44","4","0","136"
"publicpolygonfeature:5:48028","ZIP Code 47165","country:us/state:in/zip:47165","47165","41","134","99","145","10","90","3","0","45","177","0","0","20","1","97","0","6","15","10","1","23","7","0","1"
"publicpolygonfeature:5:48029","ZIP Code 47166","country:us/state:in/zip:47166","47166","24","116","120","104","1","0","0","0","16","297","2","0","2","0","49","0","1","0","0","0","13","3","17","9"
"publicpolygonfeature:5:48031","ZIP Code 47167","country:us/state:in/zip:47167","47167","357","1040","576","1292","389","84","55","17","248","381","131","481","33","0","893","0","161","133","334","45","809","41","11","85"
"publicpolygonfeature:5:48033","ZIP Code 47170","country:us/state:in/zip:47170","47170","504","1334","854","1431","872","95","14","10","112","527","106","1253","34","0","1029","0","217","63","333","33","809","27","24","29"
"publicpolygonfeature:5:48035","ZIP Code 47172","country:us/state:in/zip:47172","47172","570","1494","1002","1504","706","101","0","155","816","624","109","516","17","25","586","47","115","571","79","26","500","646","74","266"
"publicpolygonfeature:5:48037","ZIP Code 47177","country:us/state:in/zip:47177","47177","6","15","7","25","0","0","0","0","16","2","0","0","0","0","0","25","0","1","0","0","0","0","0","17"
"publicpolygonfeature:5:48075","ZIP Code 47281","country:us/state:in/zip:47281","47281","4","15","4","21","1","1","5","0","18","0","0","27","0","0","0","0","3","2","5","0","3","6","0","0"
"publicpolygonfeature:5:6672668","ZIP Code 40221","country:us/state:ky/zip:40221","40221",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:22:928417","Louisville/Jefferson County, KY-IN Area","country:us/state:ky/msa:louisville_jefferson_county","31140","65739","172188","140483","157114","58966","45592","768","10456","33989","46210","38722","100853","9891","9812","88310","680","18121","36228","19268","9287","70970","67573","3216","33879"
