"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:41477","ZIP Code 28147","country:us/state:nc/zip:28147","28147","1637","3207","1821","3286","884","1212","5","152","495","312","197","494","20","1707","2082","25","209","147","159","81","2420","2018","0","1210"
"publicpolygonfeature:5:41480","ZIP Code 28159","country:us/state:nc/zip:28159","28159","83","206","168","176","107","51","0","0","11","221","3","143","0","2","97","0","39","7","63","0","42","2","0","4"
"publicpolygonfeature:5:41482","ZIP Code 28206","country:us/state:nc/zip:28206","28206","2543","4529","3170","4428","936","1505","11","293","2849","553","378","936","1175","0","1301","0","476","894","0","513","745","3445","21","2365"
"publicpolygonfeature:5:41483","ZIP Code 28164","country:us/state:nc/zip:28164","28164","371","851","565","782","147","111","4","52","858","205","23","306","6","4","600","126","47","92","71","20","217","48","30","264"
"publicpolygonfeature:5:41484","ZIP Code 28166","country:us/state:nc/zip:28166","28166","332","740","509","790","321","143","40","36","356","82","57","95","47","3","694","0","72","136","50","9","898","51","27","117"
"publicpolygonfeature:5:41485","ZIP Code 28207","country:us/state:nc/zip:28207","28207","746","2116","2203","1528","441","330","0","55","143","90","248","4006","50","301","7","0","278","991","1","234","292","0","0","664"
"publicpolygonfeature:5:41486","ZIP Code 28208","country:us/state:nc/zip:28208","28208","5864","12280","9378","11110","3774","5263","9","301","3036","1710","631","2888","679","210","2444","0","1233","4040","8","523","2389","15628","12","4082"
"publicpolygonfeature:5:41488","ZIP Code 28168","country:us/state:nc/zip:28168","28168","86","182","118","208","22","50","26","0","88","107","7","6","0","0","84","0","33","55","0","10","76","167","0","36"
"publicpolygonfeature:5:41490","ZIP Code 28170","country:us/state:nc/zip:28170","28170","517","1064","519","1147","307","168","206","4","48","287","85","549","26","0","662","0","153","54","508","16","365","469","1","171"
"publicpolygonfeature:5:41491","ZIP Code 28173","country:us/state:nc/zip:28173","28173","974","2438","2780","1965","1321","923","23","313","694","931","766","897","193","34","148","0","583","1782","109","207","1359","148","12","802"
"publicpolygonfeature:5:41492","ZIP Code 28174","country:us/state:nc/zip:28174","28174","158","318","376","289","71","125","2","6","121","1102","6","45","0","0","33","0","22","7","20","11","110","36","0","93"
"publicpolygonfeature:5:41493","ZIP Code 28202","country:us/state:nc/zip:28202","28202","9937","26690","38707","20091","5761","11978","2","3670","1004","1130","35358","1884","1292","11707","900","0","1461","20451","16268","2725","755","122","43","733"
"publicpolygonfeature:5:41494","ZIP Code 28203","country:us/state:nc/zip:28203","28203","3616","9220","9524","7062","4191","1628","3","240","1108","186","1044","15056","1757","2422","920","0","1750","4188","229","878","2170","316","73","734"
"publicpolygonfeature:5:41495","ZIP Code 28214","country:us/state:nc/zip:28214","28214","3036","5887","4174","5337","456","839","0","477","1084","813","741","235","249","492","2491","0","487","258","0","628","801","13667","10","1502"
"publicpolygonfeature:5:41496","ZIP Code 28215","country:us/state:nc/zip:28215","28215","937","1728","1376","1577","650","470","7","55","888","1006","216","1532","61","425","154","0","258","352","0","165","1011","90","0","124"
"publicpolygonfeature:5:41497","ZIP Code 28216","country:us/state:nc/zip:28216","28216","2557","4993","3444","4618","2274","1597","6","145","2167","1162","540","1315","252","348","2665","27","691","1161","0","408","4054","838","4","1553"
"publicpolygonfeature:5:41498","ZIP Code 28217","country:us/state:nc/zip:28217","28217","6678","13854","13279","12077","3889","10048","1","254","4202","2127","5687","3083","3303","2555","1344","0","2881","6001","255","654","3619","3221","485","4146"
"publicpolygonfeature:5:41499","ZIP Code 28227","country:us/state:nc/zip:28227","28227","1975","4327","3837","3505","1528","758","27","291","1716","942","752","2839","181","1806","417","18","453","2368","115","201","2958","301","0","819"
"publicpolygonfeature:5:41500","ZIP Code 28244","country:us/state:nc/zip:28244","28244","102","248","479","192","24","674","0","0","0","0","162","17","0","0","0","0","3","284","0","4","35","0","0","0"
"publicpolygonfeature:5:41501","ZIP Code 28262","country:us/state:nc/zip:28262","28262","4999","12541","16120","9468","4092","5202","1","1112","441","1137","21742","5308","1662","2160","898","24","377","3482","64","698","3446","102","489","964"
"publicpolygonfeature:5:41502","ZIP Code 28269","country:us/state:nc/zip:28269","28269","4204","8880","7272","8119","1941","3089","2","517","2414","1496","1193","1503","411","503","2294","6","917","4088","0","1546","2649","5228","24","6564"
