"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:44586","ZIP Code 37082","country:us/state:tn/zip:37082","37082","105","221","144","262","93","61","0","110","215","0","8","43","22","0","113","0","36","52","22","5","148","0","40","37"
"publicpolygonfeature:5:44587","ZIP Code 37218","country:us/state:tn/zip:37218","37218","309","676","461","699","139","75","25","11","131","46","23","364","28","57","260","0","127","91","222","75","334","190","0","526"
"publicpolygonfeature:5:44588","ZIP Code 37083","country:us/state:tn/zip:37083","37083","386","1163","784","1380","361","94","260","17","114","756","327","669","111","0","556","0","62","310","361","29","667","18","59","47"
"publicpolygonfeature:5:44589","ZIP Code 37085","country:us/state:tn/zip:37085","37085","27","57","38","61","0","16","0","0","101","0","2","20","0","0","6","0","12","41","0","0","30","20","0","4"
"publicpolygonfeature:5:44590","ZIP Code 37087","country:us/state:tn/zip:37087","37087","2055","5162","4279","4929","2172","1080","0","156","1077","4285","908","2356","122","812","2097","44","516","613","1743","217","2876","543","14","502"
"publicpolygonfeature:5:44591","ZIP Code 37219","country:us/state:tn/zip:37219","37219","1354","3675","4098","3029","2264","1712","0","328","156","117","1170","344","1069","1048","2","0","921","3712","2090","133","470","91","0","572"
"publicpolygonfeature:5:44592","ZIP Code 37090","country:us/state:tn/zip:37090","37090","1571","3403","2322","3470","646","433","2","13","662","2","69","370","79","0","1788","34","179","175","0","233","836","6766","122","2201"
"publicpolygonfeature:5:44594","ZIP Code 37220","country:us/state:tn/zip:37220","37220","194","406","441","371","57","563","1","39","87","379","33","134","11","20","30","0","162","131","6","49","111","2","0","58"
"publicpolygonfeature:5:44595","ZIP Code 37095","country:us/state:tn/zip:37095","37095","7","22","15","28","2","5","0","2","0","0","25","10","0","0","7","0","8","0","15","0","3","2","0","2"
"publicpolygonfeature:5:44599","ZIP Code 37098","country:us/state:tn/zip:37098","37098","41","97","78","137","15","22","0","0","108","0","0","82","0","0","129","0","26","1","0","11","39","7","0","36"
"publicpolygonfeature:5:44600","ZIP Code 37128","country:us/state:tn/zip:37128","37128","1361","3540","3549","3147","2060","507","31","58","499","7144","312","974","217","6","135","2","407","491","2","247","2614","171","101","306"
"publicpolygonfeature:5:44603","ZIP Code 37132","country:us/state:tn/zip:37132","37132","29","44","26","50","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0"
"publicpolygonfeature:5:44604","ZIP Code 37122","country:us/state:tn/zip:37122","37122","2217","4974","3737","4640","2805","1214","19","212","1681","216","995","1717","138","82","709","0","1012","1775","314","375","3407","5422","173","877"
"publicpolygonfeature:5:44605","ZIP Code 37127","country:us/state:tn/zip:37127","37127","1245","2809","2594","2883","501","813","8","62","768","2482","14","199","68","54","3039","0","79","106","2","44","797","3529","0","312"
"publicpolygonfeature:5:44606","ZIP Code 37129","country:us/state:tn/zip:37129","37129","3370","8957","7231","7958","5728","2252","15","395","1735","620","1156","9943","458","398","3104","11","1150","1382","1615","495","6792","735","360","888"
"publicpolygonfeature:5:44607","ZIP Code 37130","country:us/state:tn/zip:37130","37130","1493","3547","2573","3375","2240","1718","0","155","872","128","790","2684","18","318","661","19","390","1149","1529","364","2007","143","183","232"
"publicpolygonfeature:5:44608","ZIP Code 37137","country:us/state:tn/zip:37137","37137","39","108","64","107","7","1","4","0","18","0","0","254","0","0","71","0","9","3","0","0","20","8","0","2"
"publicpolygonfeature:5:44609","ZIP Code 37138","country:us/state:tn/zip:37138","37138","444","1012","665","981","324","599","0","252","208","18","127","466","19","0","922","32","118","153","0","80","334","254","0","156"
"publicpolygonfeature:5:44611","ZIP Code 37209","country:us/state:tn/zip:37209","37209","3401","7118","5242","6808","2662","3552","274","398","2079","1027","859","1050","1570","171","1393","15","2069","888","696","695","3742","4905","121","2484"
"publicpolygonfeature:5:44612","ZIP Code 37145","country:us/state:tn/zip:37145","37145","33","38","20","51","12","0","0","0","21","0","0","2","0","0","105","0","0","1","0","1","9","17","0","1"
"publicpolygonfeature:5:44613","ZIP Code 37146","country:us/state:tn/zip:37146","37146","205","465","328","430","340","53","0","6","247","92","58","204","0","0","107","7","27","185","12","6","226","567","23","13"
"publicpolygonfeature:5:44614","ZIP Code 37148","country:us/state:tn/zip:37148","37148","1162","2266","1396","2496","347","664","4","19","433","11","225","262","19","8","3433","0","104","169","238","13","485","1556","29","1391"
"publicpolygonfeature:5:44615","ZIP Code 37149","country:us/state:tn/zip:37149","37149","43","88","59","74","25","54","4","0","36","2","2","0","8","0","6","3","11","100","0","0","3","99","0","4"
"publicpolygonfeature:5:44616","ZIP Code 37150","country:us/state:tn/zip:37150","37150","83","144","88","171","15","8","18","0","25","0","6","77","0","0","258","0","7","0","30","4","90","36","0","61"
"publicpolygonfeature:5:44617","ZIP Code 37151","country:us/state:tn/zip:37151","37151","1","8","6","6","0","0","7","0","15","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44618","ZIP Code 37153","country:us/state:tn/zip:37153","37153","49","103","48","87","44","59","1","27","189","0","0","8","2","0","1","0","13","13","0","11","19","2","0","33"
"publicpolygonfeature:5:44621","ZIP Code 37210","country:us/state:tn/zip:37210","37210","3911","8725","6063","8839","1247","3727","13","1140","7577","619","202","682","993","247","3838","71","1288","1364","610","1137","1745","3794","51","4600"
"publicpolygonfeature:5:44622","ZIP Code 37167","country:us/state:tn/zip:37167","37167","3740","8154","5902","8112","2863","2172","33","207","1131","168","418","1790","101","186","14861","18","904","661","455","319","3425","2837","53","1213"
"publicpolygonfeature:5:44625","ZIP Code 37172","country:us/state:tn/zip:37172","37172","1523","3346","2260","3397","894","472","114","38","815","1539","224","1209","60","169","3995","19","297","331","869","128","1857","147","29","267"
"publicpolygonfeature:5:44626","ZIP Code 37215","country:us/state:tn/zip:37215","37215","1343","3558","4070","2707","1755","887","3","173","386","422","1606","2369","504","777","34","0","1226","1329","31","404","3651","482","4","171"
"publicpolygonfeature:5:44627","ZIP Code 37174","country:us/state:tn/zip:37174","37174","1628","4265","2932","4094","2219","731","13","131","796","132","179","1246","253","39","5670","0","345","624","359","174","2134","1852","0","1021"
"publicpolygonfeature:5:44630","ZIP Code 37181","country:us/state:tn/zip:37181","37181","18","14","26","43","0","1","2","0","23","32","4","2","2","0","19","0","0","2","7","0","40","2","0","9"
"publicpolygonfeature:5:44632","ZIP Code 37186","country:us/state:tn/zip:37186","37186","74","165","118","177","127","7","5","2","35","0","25","208","1","0","33","0","45","14","58","1","171","1","7","24"
"publicpolygonfeature:5:44633","ZIP Code 37179","country:us/state:tn/zip:37179","37179","170","396","369","360","210","175","59","33","157","9","90","144","15","8","14","0","93","298","29","27","303","49","0","80"
"publicpolygonfeature:5:44634","ZIP Code 37189","country:us/state:tn/zip:37189","37189","214","478","330","461","38","85","8","27","217","48","8","93","5","0","368","0","6","49","0","11","123","578","0","65"
"publicpolygonfeature:5:44635","ZIP Code 37216","country:us/state:tn/zip:37216","37216","319","663","510","698","767","141","0","21","150","60","42","222","76","0","124","0","346","261","0","66","777","9","0","174"
"publicpolygonfeature:5:44637","ZIP Code 37203","country:us/state:tn/zip:37203","37203","8932","25823","29068","20159","13258","6413","63","4112","2112","930","6240","19190","7585","3886","1345","9","1250","18957","15019","1785","2005","443","1050","1700"
"publicpolygonfeature:5:44638","ZIP Code 37184","country:us/state:tn/zip:37184","37184","52","107","65","171","31","20","0","0","198","8","19","5","20","0","45","0","16","34","18","0","74","52","0","10"
"publicpolygonfeature:5:44639","ZIP Code 37204","country:us/state:tn/zip:37204","37204","4152","11293","11089","9382","3727","1126","0","1027","1794","14136","370","820","410","411","1459","0","935","2065","11687","426","2975","437","0","1164"
"publicpolygonfeature:5:44640","ZIP Code 37205","country:us/state:tn/zip:37205","37205","1438","3924","3878","3145","1694","1067","9","831","346","796","680","6426","141","11","105","0","655","763","33","308","1112","1113","1","313"
"publicpolygonfeature:5:44642","ZIP Code 37187","country:us/state:tn/zip:37187","37187","132","232","171","309","85","12","0","0","130","96","10","49","1","0","388","0","48","0","21","1","109","33","0","47"
"publicpolygonfeature:5:44643","ZIP Code 37188","country:us/state:tn/zip:37188","37188","461","1079","727","1054","776","204","13","27","475","155","363","380","57","0","608","0","121","160","146","33","964","40","91","151"
"publicpolygonfeature:5:44644","ZIP Code 37206","country:us/state:tn/zip:37206","37206","978","2198","2050","1927","1893","1536","0","264","137","291","252","866","942","15","272","0","886","713","59","624","1025","40","0","157"
"publicpolygonfeature:5:44645","ZIP Code 37190","country:us/state:tn/zip:37190","37190","171","435","352","502","188","9","14","12","70","270","69","325","9","0","207","67","41","49","176","18","241","32","12","84"
"publicpolygonfeature:5:44647","ZIP Code 37201","country:us/state:tn/zip:37201","37201","1242","3096","3665","2576","3727","802","0","763","42","3","1297","318","585","1605","12","0","201","3668","90","384","343","49","96","93"
"publicpolygonfeature:5:44648","ZIP Code 37211","country:us/state:tn/zip:37211","37211","4502","9562","7659","8931","2570","8334","1","474","3696","298","4058","3557","808","350","2284","0","1249","2407","34","767","5645","1697","0","2715"
"publicpolygonfeature:5:44649","ZIP Code 37212","country:us/state:tn/zip:37212","37212","4119","12267","15864","8936","1832","866","0","438","111","13393","334","33202","1187","252","131","0","760","1510","0","492","704","113","0","72"
"publicpolygonfeature:5:44650","ZIP Code 37213","country:us/state:tn/zip:37213","37213","230","529","423","480","207","568","0","185","36","0","0","74","2","32","181","0","32","201","0","176","29","8","0","388"
"publicpolygonfeature:5:44651","ZIP Code 37214","country:us/state:tn/zip:37214","37214","3786","9275","7628","7793","6529","6239","3","384","903","567","4911","2902","891","2790","818","0","915","2364","206","550","3510","1435","240","1532"
"publicpolygonfeature:5:44652","ZIP Code 37221","country:us/state:tn/zip:37221","37221","716","1680","1498","1357","1384","311","0","125","587","558","256","1084","335","13","81","0","635","521","2","215","1708","10","0","80"
"publicpolygonfeature:5:44653","ZIP Code 37228","country:us/state:tn/zip:37228","37228","1546","4497","4534","3640","394","2452","0","428","547","122","2907","2796","818","635","213","0","439","2166","1794","244","674","354","0","767"
"publicpolygonfeature:5:44933","ZIP Code 38401","country:us/state:tn/zip:38401","38401","2175","5902","4552","5291","2374","1123","40","202","1151","2411","2123","5230","228","125","1308","17","638","793","1119","228","3455","366","184","615"
"publicpolygonfeature:5:45004","ZIP Code 38548","country:us/state:tn/zip:38548","38548","4","7","3","9","17","0","0","0","3","0","0","3","0","0","0","8","0","2","0","0","0","0","0","0"
"publicpolygonfeature:5:45007","ZIP Code 38552","country:us/state:tn/zip:38552","38552",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:45038","ZIP Code 38563","country:us/state:tn/zip:38563","38563","173","370","236","545","166","1","0","0","46","133","13","29","1","0","677","451","11","31","13","0","78","51","8","17"
"publicpolygonfeature:5:45097","ZIP Code 38451","country:us/state:tn/zip:38451","38451","25","66","32","38","20","8","0","7","86","0","0","7","4","0","28","0","2","30","0","0","19","12","0","4"
"publicpolygonfeature:5:45103","ZIP Code 38454","country:us/state:tn/zip:38454","38454","1","2","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0"
"publicpolygonfeature:5:45105","ZIP Code 38461","country:us/state:tn/zip:38461","38461","9","24","11","20","4","0","4","0","2","0","0","10","0","0","32","0","0","6","0","5","5","8","0","4"
"publicpolygonfeature:5:45120","ZIP Code 38474","country:us/state:tn/zip:38474","38474","223","514","311","558","132","135","0","2","115","0","14","159","0","23","776","0","40","0","176","4","143","98","21","173"
"publicpolygonfeature:5:45121","ZIP Code 38482","country:us/state:tn/zip:38482","38482","10","15","7","17","15","20","18","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45123","ZIP Code 38476","country:us/state:tn/zip:38476","38476","5","15","9","10","0","0","13","0","0","0","0","37","5","0","0","0","0","2","0","0","1","0","0","0"
"publicpolygonfeature:5:45129","ZIP Code 38487","country:us/state:tn/zip:38487","38487","1","6","4","4","0","0","7","0","2","0","0","0","8","0","1","0","0","6","0","0","0","0","0","0"
"publicpolygonfeature:5:45135","ZIP Code 38547","country:us/state:tn/zip:38547","38547","51","129","63","175","9","30","0","0","19","0","0","1","0","0","440","0","3","4","0","1","0","0","0","3"
"publicpolygonfeature:5:45149","ZIP Code 38560","country:us/state:tn/zip:38560","38560","4","7","10","4","0","0","0","0","12","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45150","ZIP Code 38567","country:us/state:tn/zip:38567","38567","0","2","1","5","0","1","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","3"
"publicpolygonfeature:5:45154","ZIP Code 38569","country:us/state:tn/zip:38569","38569","0","6","3","6","0","0","0","17","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"publicpolygonfeature:5:6676390","ZIP Code 37238","country:us/state:tn/zip:37238","37238","215","603","783","505","0","324","0","0","2","0","1673","20","10","1","16","0","0","571","0","34","0","0","0","0"
"publicpolygonfeature:5:6677960","ZIP Code 37232","country:us/state:tn/zip:37232","37232","89","760","1662","295","59","352","0","0","14","3","2","2558","1","0","0","0","55","6","0","1","0","0","0","5"
"publicpolygonfeature:22:928499","Nashville-Davidson--Murfreesboro--Franklin, TN Area","country:us/state:tn/msa:nashville-davidson--murfreesboro--franklin","34980","107396","265984","241524","236906","107937","85656","1419","19220","60376","80156","55736","153068","34058","28855","87582","983","31887","86085","51308","18863","110924","65214","4152","49257"
