"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:41835","ZIP Code 33133","country:us/state:fl/zip:33133","33133","4146","7042","6279","5488","3430","684","6","332","435","858","722","2698","497","537","66","0","949","3169","4","976","1536","10333","0","267"
"publicpolygonfeature:5:41844","ZIP Code 33134","country:us/state:fl/zip:33134","33134","6411","10085","11260","7867","3724","2938","14","631","2703","423","3969","4448","1464","1110","268","1","1331","9774","1177","2077","3164","364","820","3312"
"publicpolygonfeature:5:41869","ZIP Code 33135","country:us/state:fl/zip:33135","33135","1618","1704","1451","1514","1443","374","0","20","76","542","501","1801","84","16","154","0","297","501","1","102","1616","124","0","73"
"publicpolygonfeature:5:41877","ZIP Code 33136","country:us/state:fl/zip:33136","33136","2469","4161","4715","3087","661","243","0","56","116","30","113","14844","207","41","287","0","291","988","4","87","288","59","49","76"
"publicpolygonfeature:5:41884","ZIP Code 33137","country:us/state:fl/zip:33137","33137","2678","3838","3719","3248","3529","670","14","335","619","611","631","1834","335","204","217","3","791","2916","46","1425","2447","182","9","530"
"publicpolygonfeature:5:41890","ZIP Code 33138","country:us/state:fl/zip:33138","33138","1716","2446","2430","2104","1640","664","28","230","380","679","460","887","170","117","318","0","920","1154","644","334","1537","28","0","623"
"publicpolygonfeature:5:41891","ZIP Code 33139","country:us/state:fl/zip:33139","33139","5812","7693","7274","7014","15620","2858","12","1383","271","133","991","1550","710","346","183","1","1059","2184","2191","1352","4527","232","1","447"
"publicpolygonfeature:5:41896","ZIP Code 33140","country:us/state:fl/zip:33140","33140","2776","3672","3182","3010","4957","497","0","482","577","130","201","5804","52","138","47","1","650","626","2","523","264","137","3","366"
"publicpolygonfeature:5:41899","ZIP Code 33141","country:us/state:fl/zip:33141","33141","999","1412","1357","1161","935","250","3","49","95","172","124","740","809","27","68","0","312","1259","90","211","723","129","0","85"
"publicpolygonfeature:5:41902","ZIP Code 33142","country:us/state:fl/zip:33142","33142","8716","9540","7611","8976","3144","5945","10","415","1513","177","1261","2602","208","221","2205","3","1145","340","444","1277","3135","13288","0","3758"
