city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),rent_data_type
Miami,33109,ZIP Code 33109,publicpolygonfeature:5:41719,country:us/state:fl/zip:33109,0,0,0,0,45,453,183,0,63,17,0,168,1810.0,,48.78048780487805,0.0,761,15.15152,302761.0,39,0,0,110,0,0,934,0.0,38.55140186915888,36.333333333333336,0,0,1083,Rural_Area
Miami,33122,ZIP Code 33122,publicpolygonfeature:5:41784,country:us/state:fl/zip:33122,14,0,0,0,0,22,36,113,635,0,417,9,2514.0,99583.0,3.571428571428571,0.0,820,14775.03848,58460.0,41,0,0,56,34,0,1556,1.292407108239095,85.95773687798227,24.28503787878788,0,2,1687,Available
Miami,33125,ZIP Code 33125,publicpolygonfeature:5:41793,country:us/state:fl/zip:33125,1320,2115,4694,3386,3126,2423,1339,2111,1502,657,9549,2161,1535.0,44979.0,3.374103753690426,0.0,22673,1.5022,31784.0,3731,8159,3421,4095,5391,1989,28596,3.104536355308248,60.41034680659179,28.97764385692069,1816,4412,56897,Available
Miami,33126,ZIP Code 33126,publicpolygonfeature:5:41796,country:us/state:fl/zip:33126,259,752,2711,2608,5165,3739,2269,1651,685,310,7889,2652,1771.0,58210.0,6.019173345906019,1.8832662449683728,20149,4.05602,29013.0,3049,4573,2626,3083,3862,2732,27054,3.60616036629205,64.39641308055948,27.406530575780582,903,1978,47307,Available
Miami,33127,ZIP Code 33127,publicpolygonfeature:5:41799,country:us/state:fl/zip:33127,2189,1288,2099,1464,807,387,302,972,1247,333,4376,960,1455.0,41230.0,5.017373175816539,1.3417521704814523,11088,-4.66389,23962.0,3186,6043,1803,1323,1940,1275,11044,10.927887901572111,54.793241855689345,28.406020636102543,1333,2229,26786,Available
Miami,33128,ZIP Code 33128,publicpolygonfeature:5:41814,country:us/state:fl/zip:33128,618,357,384,432,667,248,228,806,639,444,2879,22,1452.0,42722.0,6.791060967671945,0.0,4823,5.64541,27032.0,346,1382,1289,1014,707,297,4067,4.308093994778068,64.24634555475677,26.467840069534983,401,1634,9475,Available
Miami,33129,ZIP Code 33129,publicpolygonfeature:5:41815,country:us/state:fl/zip:33129,442,646,486,1404,1334,1387,558,1194,640,11,2112,1232,2250.0,113367.0,4.312808521693946,1.3377926421404682,8102,8.9124,75262.0,345,355,286,302,313,406,12689,2.3822298529885177,71.82827192847233,21.85266903914591,348,417,14702,Available
Miami,33130,ZIP Code 33130,publicpolygonfeature:5:41830,country:us/state:fl/zip:33130,923,1348,1570,1301,1564,1111,968,4863,7014,414,9248,817,1792.0,61009.0,8.822272422003785,2.111514351699109,21076,37.12157,55058.0,3140,4741,2216,2101,2977,746,18815,3.9711033274956216,73.59516227604618,25.285355648535564,2574,4618,34964,Available
Miami,33131,ZIP Code 33131,publicpolygonfeature:5:41831,country:us/state:fl/zip:33131,204,44,99,921,702,624,2225,8660,5093,211,3858,1700,3124.0,144138.0,14.325786415547986,0.5511328842620943,18783,74.1377,120707.0,1150,567,239,505,340,207,20087,3.3172039876406463,83.77916625988479,19.07069138734131,562,1738,23095,Available
Miami,33132,ZIP Code 33132,publicpolygonfeature:5:41834,country:us/state:fl/zip:33132,194,63,93,136,158,1074,437,6104,4700,1130,4287,1054,2650.0,109109.0,11.164256984454832,4.046639231824417,14089,67.01969,76436.0,1512,883,247,301,537,656,15170,5.042301184433164,78.86505336574025,23.180218921032058,798,1512,20253,Available
Miami,33133,ZIP Code 33133,publicpolygonfeature:5:41835,country:us/state:fl/zip:33133,1626,1579,2396,1860,2192,2063,1730,2513,1173,801,4088,2650,2068.0,103420.0,7.309758840434837,2.0165646380986675,17933,12.08843,81493.0,1888,1940,677,877,2436,604,28193,3.631113004781518,71.86198489824942,27.249397751605997,753,1357,36789,Available
Miami,33134,ZIP Code 33134,publicpolygonfeature:5:41844,country:us/state:fl/zip:33134,2497,2815,3368,2256,1803,1166,703,2100,1165,173,3716,2621,1890.0,99766.0,8.271474019088016,0.55454836301589,18046,2.42313,70800.0,1654,1639,1228,1380,1972,618,29557,2.6801220370804972,65.95975232198143,26.22343324250681,384,1440,38174,Available
Miami,33135,ZIP Code 33135,publicpolygonfeature:5:41869,country:us/state:fl/zip:33135,2249,2335,3477,1855,2113,1197,727,665,1160,285,7504,1295,1422.0,40567.0,4.58116265608203,1.5133876600698486,16063,0.37265,26051.0,2967,6701,2371,2470,3157,1153,17175,4.415232552305453,65.3325466286426,31.55910227338799,1929,3385,36143,Available
Miami,33136,ZIP Code 33136,publicpolygonfeature:5:41877,country:us/state:fl/zip:33136,547,236,711,726,1412,635,378,916,1803,673,4210,319,1513.0,44843.0,6.641748131109833,5.147058823529411,8037,15.79532,30626.0,2381,3014,390,556,789,551,8347,12.304769945124525,64.08765048018395,25.96051227321238,911,2208,16545,Available
Miami,33137,ZIP Code 33137,publicpolygonfeature:5:41884,country:us/state:fl/zip:33137,1178,550,850,514,937,992,390,3358,6012,1098,5714,1358,2489.0,94036.0,6.809933142311365,2.9275808936825887,15879,32.30951,66422.0,1824,1359,907,1226,1218,466,22050,4.6257315946195705,76.17930980576074,28.70693479225196,732,1485,29414,Available
Miami,33138,ZIP Code 33138,publicpolygonfeature:5:41890,country:us/state:fl/zip:33138,1590,1478,2999,1180,1923,1648,647,1782,915,222,3783,2049,1611.0,75051.0,6.147948317478347,2.067730380983393,14384,0.24495,52428.0,1592,1813,1159,1575,1691,381,20738,5.963168664133294,70.86841670794122,26.287769784172664,579,1542,28980,Available
Miami,33139,ZIP Code 33139,publicpolygonfeature:5:41891,country:us/state:fl/zip:33139,4265,1967,2556,6630,4578,2570,2716,3695,1000,282,7275,2479,1822.0,69793.0,9.97015349630472,4.4170984455958555,30259,-6.53535,88782.0,2011,3544,1083,1584,1476,458,23227,4.097442143727162,68.95052022347863,22.246886653064095,685,5689,33753,Available
Miami,33140,ZIP Code 33140,publicpolygonfeature:5:41896,country:us/state:fl/zip:33140,1407,959,1522,4894,2303,1838,866,1303,679,100,1894,2049,2194.0,107063.0,9.704743465634076,3.7213740458015265,15871,-7.90602,90994.0,1272,748,344,524,577,249,16550,3.7603266546386855,64.76629766297664,25.272714326402735,397,1241,20342,Available
Miami,33141,ZIP Code 33141,publicpolygonfeature:5:41899,country:us/state:fl/zip:33141,374,2023,3743,3979,3507,2398,2126,2904,763,76,6232,2231,1831.0,68738.0,3.833288129463882,2.6178010471204187,21893,2.03802,49184.0,2245,2619,975,1762,3088,1338,24010,5.160570152842178,71.19887509934586,32.42915787673186,1874,2597,36438,Available
