city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),removal_reason
SanAntonio,78623,ZIP Code 78623,publicpolygonfeature:5:59964,country:us/state:tx/zip:78623,0,0,0,13,0,38,171,46,361,92,0,26,,116923.0,0.0,0.0,721,62.12997,54836.0,39,30,0,0,0,41,1535,5.3311793214862675,46.09084139985108,37.33796296296296,0,16,1645,missing_rent_data
SanAntonio,78161,ZIP Code 78161,publicpolygonfeature:5:59769,country:us/state:tx/zip:78161,0,0,0,0,10,0,95,37,35,37,0,71,,79904.0,0.0,0.0,214,10.68375,23743.0,0,246,0,0,0,137,196,12.36749116607774,69.53316953316954,36.540284360189574,0,0,579,missing_rent_data
SanAntonio,78143,ZIP Code 78143,publicpolygonfeature:5:59752,country:us/state:tx/zip:78143,0,0,0,0,0,14,0,0,0,0,0,0,,,0.0,0.0,14,14.86862,,0,0,0,0,0,0,0,,,,0,0,0,missing_rent_data
SanAntonio,78123,ZIP Code 78123,publicpolygonfeature:5:59707,country:us/state:tx/zip:78123,4,24,73,61,159,162,163,316,95,7,79,149,,97553.0,0.0,0.0,1064,-3.27329,46866.0,162,56,533,112,27,77,1155,5.8986175115207375,63.26530612244898,29.493957703927492,0,18,2127,missing_rent_data
SanAntonio,78066,ZIP Code 78066,publicpolygonfeature:5:59720,country:us/state:tx/zip:78066,11,0,0,0,0,37,76,6,9,0,0,67,,87604.0,0.0,0.0,139,17.03696,47030.0,0,28,9,0,0,0,222,0.0,28.57142857142857,,0,10,259,missing_rent_data
SanAntonio,78057,ZIP Code 78057,publicpolygonfeature:5:59711,country:us/state:tx/zip:78057,0,0,103,18,20,89,74,86,41,18,46,65,,66134.0,0.0,0.0,449,27.49697,19753.0,41,32,46,94,321,0,347,14.102564102564102,41.43426294820717,11.921641791044776,0,22,881,missing_rent_data
Indianapolis,46045,ZIP Code 46045,publicpolygonfeature:5:47578,country:us/state:in/zip:46045,7,0,0,0,37,0,0,0,0,3,0,0,,160912.0,0.0,0.0,47,61.54984,49160.0,0,0,0,0,0,0,162,0.0,38.059701492537314,,0,0,162,missing_rent_data
SanAntonio,78056,ZIP Code 78056,publicpolygonfeature:5:59709,country:us/state:tx/zip:78056,19,0,16,0,43,19,48,669,169,65,0,118,,119946.0,0.0,0.7803790412486065,1048,14.57959,54067.0,11,0,0,57,0,394,2064,0.6364359586316627,57.18835304822566,47.81282316442606,0,10,2526,missing_rent_data
SanAntonio,78039,ZIP Code 78039,publicpolygonfeature:5:59701,country:us/state:tx/zip:78039,42,25,34,35,41,61,251,90,178,11,33,54,,96250.0,8.620689655172415,1.7133956386292832,768,3.42541,45355.0,114,75,7,68,244,15,1339,0.0,65.13157894736842,29.20837589376915,0,24,1862,missing_rent_data
SanAntonio,78027,ZIP Code 78027,publicpolygonfeature:5:59696,country:us/state:tx/zip:78027,7,12,0,0,0,0,46,29,86,0,0,0,,111119.0,0.0,0.0,180,19.83302,45525.0,11,0,0,13,37,0,257,0.0,60.691823899371066,,0,0,318,missing_rent_data
SanAntonio,78012,ZIP Code 78012,publicpolygonfeature:5:59679,country:us/state:tx/zip:78012,12,5,9,8,66,13,34,18,0,0,0,20,,43571.0,0.0,0.0,165,-7.12891,18277.0,55,0,47,37,2,39,148,26.027397260273972,54.68164794007491,41.157407407407405,12,34,328,missing_rent_data
SanAntonio,78011,ZIP Code 78011,publicpolygonfeature:5:59678,country:us/state:tx/zip:78011,11,78,69,48,145,35,87,101,145,0,10,188,,29664.0,7.142857142857142,0.0,719,-6.7822,22510.0,34,499,213,126,117,125,643,4.323570432357044,48.056300268096514,25.19113149847095,0,61,1757,missing_rent_data
SanAntonio,78008,ZIP Code 78008,publicpolygonfeature:5:59672,country:us/state:tx/zip:78008,90,0,0,0,75,7,0,0,6,0,36,6,,55440.0,0.0,0.0,178,-7.26043,28910.0,123,12,0,0,0,0,99,0.0,31.97278911564626,,0,0,234,missing_rent_data
SanAntonio,78004,ZIP Code 78004,publicpolygonfeature:5:59670,country:us/state:tx/zip:78004,0,0,0,0,0,52,123,0,0,0,0,28,,165353.0,0.0,0.0,175,20.72963,53802.0,11,17,0,0,0,0,519,0.0,57.28542914171657,,0,0,547,missing_rent_data
Louisville,47281,ZIP Code 47281,publicpolygonfeature:5:48075,country:us/state:in/zip:47281,63,6,119,60,14,80,211,60,15,8,0,52,,96250.0,0.0,0.0,636,5.40625,35585.0,20,32,100,44,58,50,1237,0.0,78.05280528052805,31.680522565320665,0,0,1541,missing_rent_data
SanAntonio,78050,ZIP Code 78050,publicpolygonfeature:5:59703,country:us/state:tx/zip:78050,0,0,21,42,62,17,21,30,0,0,0,0,,74205.0,0.0,0.0,193,-6.81862,23819.0,46,43,0,0,0,0,440,0.0,42.959427207637226,,0,0,529,missing_rent_data
