"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:47610","ZIP Code 46106","country:us/state:in/zip:46106","46106","0","47","86","19","13","20","129","14","570","153","79","49","0","0","63","331","719","67","318","183","109","25","233","984","166","159","216","30","892","92","184","0","11","0","1839","431","709","320","295","9"
"publicpolygonfeature:5:47611","ZIP Code 46107","country:us/state:in/zip:46107","46107","0","0","56","14","26","0","55","10","140","148","38","7","13","0","0","511","531","81","986","430","270","23","437","1114","465","380","362","0","310","20","135","21","21","0","1744","852","1297","602","1095","0"
"publicpolygonfeature:5:47612","ZIP Code 46110","country:us/state:in/zip:46110","46110","0","0","70","0","0","0","0","0","0","0","0","0","21","0","0","38","78","0","0","0","0","0","18","59","0","0","8","0","0","0","21","0","70","0","97","18","0","32","54","0"
"publicpolygonfeature:5:47613","ZIP Code 46111","country:us/state:in/zip:46111","46111","0","0","0","0","0","6","0","0","0","0","0","0","4","0","0","20","57","25","74","0","0","0","1","57","0","6","0","0","0","4","6","0","0","0","30","18","55","21","116","0"
"publicpolygonfeature:5:47614","ZIP Code 46118","country:us/state:in/zip:46118","46118","0","171","36","16","2","2","65","0","0","30","0","1","0","0","68","388","320","30","233","115","104","2","213","355","131","96","39","0","124","0","108","81","10","0","695","374","285","251","489","0"
"publicpolygonfeature:5:47615","ZIP Code 46112","country:us/state:in/zip:46112","46112","51","59","341","77","307","286","603","71","752","730","91","262","161","0","67","1156","2134","399","2011","1434","903","124","2165","5858","1475","649","866","0","2326","424","867","32","142","0","9597","2580","3557","1301","2206","0"
"publicpolygonfeature:5:47616","ZIP Code 46113","country:us/state:in/zip:46113","46113","0","72","63","7","35","38","177","13","245","172","37","86","7","0","108","399","860","194","1268","1605","275","9","638","1928","256","241","298","66","402","165","243","50","92","0","2499","827","1875","818","2092","34"
"publicpolygonfeature:5:47618","ZIP Code 46117","country:us/state:in/zip:46117","46117","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","55","17","0","21","21","18","0","0","89","0","25","0","0","8","0","0","0","0","0","130","0","20","58","38","0"
"publicpolygonfeature:5:47619","ZIP Code 46280","country:us/state:in/zip:46280","46280","36","83","117","31","94","20","178","30","513","173","0","20","24","0","0","269","362","140","329","120","90","36","521","781","450","33","231","0","917","23","264","67","48","0","1661","652","560","261","228","0"
"publicpolygonfeature:5:47621","ZIP Code 46124","country:us/state:in/zip:46124","46124","0","36","29","42","9","0","37","0","56","0","0","81","23","0","47","157","781","17","279","171","214","13","190","480","495","114","136","16","105","11","161","35","1","0","1158","655","508","187","602","0"
