city,geoid,Median Home Rent (2020-2024),predicted_rent,residual,residual_pct,affordability_category
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Orlando,32801,1851.0,1965.825210571289,-114.82521057128906,-5.841069183252547,Highly Affordable
Denver,80022,1698.0,1812.5611877441409,-114.56118774414062,-6.320403885880401,Highly Affordable
Jacksonville,32206,860.0,974.5359497070312,-114.53594970703124,-11.752870660283335,Highly Affordable
SanFrancisco,94611,2303.0,2417.054630279541,-114.05463027954102,-4.718744411099644,Highly Affordable
Nashville,37066,1391.0,1504.9076232910156,-113.90762329101562,-7.569077432268973,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
Austin,78655,1093.0,1206.4760208129885,-113.47602081298828,-9.405576145352812,Highly Affordable
